group_id,mouse,line,depth_class,cohort,compartment,state,family,component_a,component_b,mixture_a,mixture_b,window_start_s,window_stop_s,minimum_trials,n_odor_4,n_odor_10,n_odor_17,n_odor_18,component_distance_rms_z,mixture_distance_rms_z,mixture_cosine_distance,mean_off_axis_residual_rms_z,max_off_axis_residual_rms_z,mixture_1_component_axis_position,mixture_2_component_axis_position,best_60_40_residual_rms_z,best_60_40_assignment,n_odor_22,n_odor_30,n_odor_31,n_odor_32,n_odor_3,n_odor_12,n_odor_39,n_odor_40
193,m472,DAT,na,DAT,units,post,alpha 17/18,4,10,17,18,0.0,1.0,5,6.0,8.0,8.0,5.0,0.31056584446137026,0.378188154507267,0.28393417596817017,0.46147912861906715,0.46349343783840946,0.6463193297386169,0.9490032196044922,0.4709200913303745,forward,,,,,,,,
193,m472,DAT,na,DAT,units,post,epsilon 31/32,22,30,31,32,0.0,1.0,6,,,,,0.7023466864757799,0.5223224934839733,0.12804871797561646,0.44802410573332774,0.5205582754374469,0.3382943570613861,0.3636249899864197,0.46218662973389146,forward,6.0,13.0,6.0,9.0,,,,
193,m472,DAT,na,DAT,units,post,lambda 39/40,3,12,39,40,0.0,1.0,4,,,,,0.4432593507775727,0.3253611801089467,0.25198662281036377,0.3714832277897636,0.4025407343914499,0.6473902463912964,0.7516090869903564,0.38210253937310873,forward,,,,,15.0,4.0,6.0,7.0
193,m472,DAT,na,DAT,units,post,alpha 17/18,4,10,17,18,1.0,2.0,5,6.0,8.0,8.0,5.0,0.5891102136432623,0.6483841208893615,0.0491865873336792,1.2125120080125409,1.3606211227298906,1.531757116317749,1.8552700281143188,1.3403095058493948,forward,,,,,,,,
193,m472,DAT,na,DAT,units,post,epsilon 31/32,22,30,31,32,1.0,2.0,6,,,,,1.895592756469711,1.941138552470546,0.12675297260284424,1.2504812057691663,1.376624075050475,0.4310201406478882,0.36445191502571106,1.2736743264412573,reversed,6.0,13.0,6.0,9.0,,,,
193,m472,DAT,na,DAT,units,post,lambda 39/40,3,12,39,40,1.0,2.0,4,,,,,1.3011515147649897,0.6341053048620489,0.10786199569702148,0.6059010433039782,0.635661993266629,0.3699444532394409,0.5656330585479736,0.607349331438237,forward,,,,,15.0,4.0,6.0,7.0
193,m472,DAT,na,DAT,units,post,alpha 17/18,4,10,17,18,2.0,3.0,5,6.0,8.0,8.0,5.0,0.5864377844814497,0.7594482849870573,0.03445851802825928,1.6098062311789005,1.8724766542754665,0.6700809597969055,0.6746528148651123,1.6135768757059696,reversed,,,,,,,,
193,m472,DAT,na,DAT,units,post,epsilon 31/32,22,30,31,32,2.0,3.0,6,,,,,2.2140436052756423,1.9733055801956096,0.11692744493484497,1.4845491399147641,1.7456789786820905,0.26726216077804565,0.5952861905097961,1.4968540321092227,forward,6.0,13.0,6.0,9.0,,,,
193,m472,DAT,na,DAT,units,post,lambda 39/40,3,12,39,40,2.0,3.0,4,,,,,1.4117712242504443,0.9495556169082264,0.0659559965133667,0.7674490437369832,0.9152069032766036,0.33759352564811707,0.32741013169288635,0.807724525855902,reversed,,,,,15.0,4.0,6.0,7.0
193,m472,DAT,na,DAT,units,post,alpha 17/18,4,10,17,18,3.0,4.0,5,6.0,8.0,8.0,5.0,0.7900696580471986,0.8990069081861782,0.0326269268989563,1.7179603643476131,2.032413123288658,-0.04561517387628555,-0.4621518552303314,1.8025411298620546,reversed,,,,,,,,
193,m472,DAT,na,DAT,units,post,epsilon 31/32,22,30,31,32,3.0,4.0,6,,,,,2.6592323480712166,2.2918295951445935,0.10554230213165283,1.5839455930450337,1.824784183755573,0.37454378604888916,0.5357518792152405,1.5899846961864488,forward,6.0,13.0,6.0,9.0,,,,
193,m472,DAT,na,DAT,units,post,lambda 39/40,3,12,39,40,3.0,4.0,4,,,,,1.4414180917436914,0.7936765323046845,0.08183175325393677,0.5910845554160813,0.6346451030214626,0.17438073456287384,0.37036243081092834,0.676459665747225,forward,,,,,15.0,4.0,6.0,7.0
193,m472,DAT,na,DAT,units,post,alpha 17/18,4,10,17,18,0.0,4.0,5,6.0,8.0,8.0,5.0,0.45863350629993305,0.6155924736289276,0.03729081153869629,1.275671347939626,1.4786204837005823,0.7506445646286011,0.7502111196517944,1.2811317825159616,reversed,,,,,,,,
193,m472,DAT,na,DAT,units,post,epsilon 31/32,22,30,31,32,0.0,4.0,6,,,,,1.8545910578862992,1.646239313283848,0.1207548975944519,1.1182606376986692,1.259862941711023,0.3498249351978302,0.5422508120536804,1.1229039283488587,forward,6.0,13.0,6.0,9.0,,,,
193,m472,DAT,na,DAT,units,post,lambda 39/40,3,12,39,40,0.0,4.0,4,,,,,1.110931914478043,0.6220834480697274,0.08061563968658447,0.5141448354856799,0.5910019221101585,0.30672770738601685,0.40886396169662476,0.543066247073842,forward,,,,,15.0,4.0,6.0,7.0
193,m472,DAT,na,DAT,units,pre,alpha 17/18,4,10,17,18,0.0,1.0,2,2.0,7.0,4.0,8.0,0.6999899113731608,1.152892672681647,0.13962334394454956,1.6443079382724828,1.6877702067262281,0.7754412889480591,0.597917377948761,1.6495307312655019,reversed,,,,,,,,
193,m472,DAT,na,DAT,units,pre,epsilon 31/32,22,30,31,32,0.0,1.0,4,,,,,1.567528637845825,0.8048535567485924,0.046472787857055664,0.779734427939174,0.8488763865586963,0.27108755707740784,0.5105255246162415,0.7995756107210756,forward,6.0,5.0,4.0,8.0,,,,
193,m472,DAT,na,DAT,units,pre,lambda 39/40,3,12,39,40,0.0,1.0,5,,,,,1.4908003289919538,0.9831569408397904,0.20256787538528442,0.7707288696206447,0.9422354886190799,0.3430268168449402,0.5716559290885925,0.7733830981105334,forward,,,,,5.0,7.0,7.0,5.0
193,m472,DAT,na,DAT,units,pre,alpha 17/18,4,10,17,18,1.0,2.0,2,2.0,7.0,4.0,8.0,1.189662104087575,0.774641170233425,0.04202461242675781,2.8615846610340947,2.919383708868205,1.2811882495880127,1.209668755531311,2.9816828233407935,reversed,,,,,,,,
193,m472,DAT,na,DAT,units,pre,epsilon 31/32,22,30,31,32,1.0,2.0,4,,,,,2.843548047774275,1.3236100924461371,0.04161107540130615,1.1851715003771914,1.308343273361044,0.22231651842594147,0.4527074992656708,1.2749052095141848,forward,6.0,5.0,4.0,8.0,,,,
193,m472,DAT,na,DAT,units,pre,lambda 39/40,3,12,39,40,1.0,2.0,5,,,,,2.7460775327126634,1.0533707667041636,0.1998705267906189,1.275581149846521,1.5700470979567496,0.6282652616500854,0.6756612658500671,1.3467134550587923,forward,,,,,5.0,7.0,7.0,5.0
193,m472,DAT,na,DAT,units,pre,alpha 17/18,4,10,17,18,2.0,3.0,2,2.0,7.0,4.0,8.0,1.5007003882680239,0.7389152980338987,0.03268235921859741,2.6400366897268155,2.709427856269855,0.21936321258544922,0.33786478638648987,2.6613681499001576,forward,,,,,,,,
193,m472,DAT,na,DAT,units,pre,epsilon 31/32,22,30,31,32,2.0,3.0,4,,,,,3.3710418158256203,1.4245816437660797,0.05415600538253784,1.055446986170437,1.0727604786405032,0.21802502870559692,0.4615643322467804,1.1869867905765115,forward,6.0,5.0,4.0,8.0,,,,
193,m472,DAT,na,DAT,units,pre,lambda 39/40,3,12,39,40,2.0,3.0,5,,,,,1.9877123355055053,1.182943146974818,0.20217269659042358,1.2295054579420392,1.3241139126354626,0.03361247852444649,0.37140533328056335,1.3668281561184152,forward,,,,,5.0,7.0,7.0,5.0
193,m472,DAT,na,DAT,units,pre,alpha 17/18,4,10,17,18,3.0,4.0,2,2.0,7.0,4.0,8.0,0.9383735853140859,1.030753992688923,0.0433962345123291,2.914261733431437,3.072192871068838,-0.0672544464468956,0.016223957762122154,2.956460284657507,forward,,,,,,,,
193,m472,DAT,na,DAT,units,pre,epsilon 31/32,22,30,31,32,3.0,4.0,4,,,,,3.675108912212882,1.5688502682709418,0.051190078258514404,0.9732655819422196,1.059207021090197,0.030140168964862823,0.3405250906944275,1.5242431846236368,forward,6.0,5.0,4.0,8.0,,,,
193,m472,DAT,na,DAT,units,pre,lambda 39/40,3,12,39,40,3.0,4.0,5,,,,,2.511297500412826,1.3015475100511895,0.18052858114242554,1.5270817929482328,1.6861056812030664,0.1966981142759323,0.49884042143821716,1.57657662386665,forward,,,,,5.0,7.0,7.0,5.0
193,m472,DAT,na,DAT,units,pre,alpha 17/18,4,10,17,18,0.0,4.0,2,2.0,7.0,4.0,8.0,0.8368942271933293,0.7836373120233646,0.042017340660095215,2.3179108734059404,2.347763959119631,-0.05761034041643143,0.30911314487457275,2.3398687483580143,forward,,,,,,,,
193,m472,DAT,na,DAT,units,pre,epsilon 31/32,22,30,31,32,0.0,4.0,4,,,,,2.518102868706573,1.1614711438329421,0.04351377487182617,0.9510092373431113,1.0399275347910744,0.11468945443630219,0.38229605555534363,1.148892607885069,forward,6.0,5.0,4.0,8.0,,,,
193,m472,DAT,na,DAT,units,pre,lambda 39/40,3,12,39,40,0.0,4.0,5,,,,,2.0142475454843884,0.9652172803782054,0.1588585376739502,1.1641019358607676,1.2857186180597868,0.2251705378293991,0.511866569519043,1.1952822779123171,forward,,,,,5.0,7.0,7.0,5.0
186,m472,DAT,na,DAT,units,post,alpha 17/18,4,10,17,18,0.0,1.0,5,5.0,7.0,6.0,6.0,0.5104160203731812,0.9004148185466311,0.2711153030395508,0.907487389867581,1.0643426838641308,1.5875740051269531,0.8510478138923645,0.9619951031199709,reversed,,,,,,,,
