group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
175,m442,DAT,superficial,DAT superficial,somas,g52,88,0.0390625,,0.4267797250450259,0.3428948817029994
175,m442,DAT,superficial,DAT superficial,somas,g53,88,0.0390625,,0.3803102912399332,0.17084865163845903
175,m442,DAT,superficial,DAT superficial,somas,g54,88,0.0390625,,-0.41146924163533893,-0.38671216293962307
175,m442,DAT,superficial,DAT superficial,somas,g55,88,0.0390625,,0.14709000132877897,0.2964799119686258
175,m442,DAT,superficial,DAT superficial,somas,g56,88,0.0390625,,0.1656989414177419,0.3171645569896927
175,m442,DAT,superficial,DAT superficial,somas,g57,88,0.0390625,,0.03947564731668154,0.10634672538076846
175,m442,DAT,superficial,DAT superficial,somas,g58,88,0.0390625,,-0.14527320433431148,0.03456246560565672
175,m442,DAT,superficial,DAT superficial,somas,g59,88,0.0390625,,0.27217559245757567,0.2954760594644105
175,m442,DAT,superficial,DAT superficial,somas,g60,88,0.0390625,,0.3698416600145309,0.29802091361983335
175,m442,DAT,superficial,DAT superficial,somas,g61,88,0.0390625,,0.1087608763872468,-0.13737809577422944
175,m442,DAT,superficial,DAT superficial,somas,g62,88,0.0390625,,0.2799719446085914,0.2873307650223131
175,m442,DAT,superficial,DAT superficial,somas,g63,88,0.0390625,,0.23666867643948813,0.3271414419657969
175,m442,DAT,superficial,DAT superficial,somas,g64,88,0.0390625,,0.28184165802037353,0.2543533296864699
175,m442,DAT,superficial,DAT superficial,somas,g65,88,0.0390625,,0.21469954385104897,0.09988332416941764
175,m442,DAT,superficial,DAT superficial,somas,g66,88,0.0390625,,-0.11007496741722571,0.005750137589934736
175,m442,DAT,superficial,DAT superficial,somas,g67,88,0.0390625,,0.33336460967900927,0.2845217391552546
175,m442,DAT,superficial,DAT superficial,somas,g68,88,0.0390625,,-0.4173870609716869,-0.13597798570256078
175,m442,DAT,superficial,DAT superficial,somas,g69,88,0.0390625,,0.21969132588439166,0.19678150799735303
175,m442,DAT,superficial,DAT superficial,somas,g70,88,0.0390625,,0.1510675520302587,0.2714716566004563
175,m442,DAT,superficial,DAT superficial,somas,g71,88,0.0390625,,0.3375185484382042,0.295828288413258
175,m442,DAT,superficial,DAT superficial,somas,g72,88,0.0390625,,0.3413726274992833,0.1067077600533371
175,m442,DAT,superficial,DAT superficial,somas,g73,88,0.0390625,,0.35855282432075236,0.1342168409583235
175,m442,DAT,superficial,DAT superficial,somas,g74,88,0.0390625,,0.29242494148329085,0.3159581728398902
175,m442,DAT,superficial,DAT superficial,somas,g75,88,0.0390625,,0.21670154830611751,0.40199009359588145
175,m442,DAT,superficial,DAT superficial,somas,g76,88,0.0390625,,0.31077811888856655,0.3038326912758164
175,m442,DAT,superficial,DAT superficial,somas,g77,88,0.0390625,,0.1607424369959423,0.1325965877936252
175,m442,DAT,superficial,DAT superficial,somas,g78,88,0.0390625,,0.23729485404437745,0.14768959825173872
175,m442,DAT,superficial,DAT superficial,somas,g79,88,0.0390625,,0.05469793669751092,0.10274518437880323
175,m442,DAT,superficial,DAT superficial,somas,g80,88,0.0390625,,0.2996480324467319,0.3302674738868181
