group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,seconds_accumulated,cumulative_crossnobis
213,m392,Thy1,pre,17-18,8,4,-0.26596597252955756,-0.014446354438739591,0.014133751392364502,1,0.3154784398628017
213,m392,Thy1,pre,17-18,8,4,-0.26596597252955756,-0.014446354438739591,0.014133751392364502,2,-0.1010524177221784
213,m392,Thy1,pre,17-18,8,4,-0.26596597252955756,-0.014446354438739591,0.014133751392364502,3,-0.15560412621110362
213,m392,Thy1,pre,17-18,8,4,-0.26596597252955756,-0.014446354438739591,0.014133751392364502,4,-0.19925899322787613
213,m392,Thy1,pre,31-32,6,4,0.14506207767556065,0.21017542749806978,0.0106048583984375,1,0.6909708890012191
213,m392,Thy1,pre,31-32,6,4,0.14506207767556065,0.21017542749806978,0.0106048583984375,2,0.674008814399425
213,m392,Thy1,pre,31-32,6,4,0.14506207767556065,0.21017542749806978,0.0106048583984375,3,0.16141523803575958
213,m392,Thy1,pre,31-32,6,4,0.14506207767556065,0.21017542749806978,0.0106048583984375,4,0.16374575562292037
213,m392,Thy1,pre,39-40,7,7,1.2142821477191665,0.9668479350060061,0.0966193675994873,1,0.5707188396051446
213,m392,Thy1,pre,39-40,7,7,1.2142821477191665,0.9668479350060061,0.0966193675994873,2,0.6394296695291573
213,m392,Thy1,pre,39-40,7,7,1.2142821477191665,0.9668479350060061,0.0966193675994873,3,1.1369715536274778
213,m392,Thy1,pre,39-40,7,7,1.2142821477191665,0.9668479350060061,0.0966193675994873,4,1.1650807045028562
213,m392,Thy1,post,17-18,6,4,0.10247801662001808,0.1779584756038485,0.01564687490463257,1,0.0723207558807092
213,m392,Thy1,post,17-18,6,4,0.10247801662001808,0.1779584756038485,0.01564687490463257,2,0.03768447486200963
213,m392,Thy1,post,17-18,6,4,0.10247801662001808,0.1779584756038485,0.01564687490463257,3,0.11928148206336137
213,m392,Thy1,post,17-18,6,4,0.10247801662001808,0.1779584756038485,0.01564687490463257,4,0.08626607216580476
213,m392,Thy1,post,31-32,4,3,1.2882092761719781,1.2397572369045902,0.050678789615631104,1,2.918006546655098
213,m392,Thy1,post,31-32,4,3,1.2882092761719781,1.2397572369045902,0.050678789615631104,2,1.5232996355017046
213,m392,Thy1,post,31-32,4,3,1.2882092761719781,1.2397572369045902,0.050678789615631104,3,1.1793515317427297
213,m392,Thy1,post,31-32,4,3,1.2882092761719781,1.2397572369045902,0.050678789615631104,4,1.1274435961710865
213,m392,Thy1,post,39-40,4,3,3.0738562320881404,2.3542144905604863,0.09038949012756348,1,0.35235549459791726
213,m392,Thy1,post,39-40,4,3,3.0738562320881404,2.3542144905604863,0.09038949012756348,2,0.4897368723490709
213,m392,Thy1,post,39-40,4,3,3.0738562320881404,2.3542144905604863,0.09038949012756348,3,1.117852026601527
