group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,seconds_accumulated,cumulative_crossnobis
213,m392,Thy1,pre,17-18,8,4,-0.26596597252955756,-0.014446354438739591,0.014133751392364502,1,0.3154784398628017
213,m392,Thy1,pre,31-32,6,4,0.14506207767556065,0.21017542749806978,0.0106048583984375,1,0.6909708890012191
213,m392,Thy1,pre,39-40,7,7,1.2142821477191665,0.9668479350060061,0.0966193675994873,1,0.5707188396051446
213,m392,Thy1,post,17-18,6,4,0.10247801662001808,0.1779584756038485,0.01564687490463257,1,0.0723207558807092
213,m392,Thy1,post,31-32,4,3,1.2882092761719781,1.2397572369045902,0.050678789615631104,1,2.918006546655098
213,m392,Thy1,post,39-40,4,3,3.0738562320881404,2.3542144905604863,0.09038949012756348,1,0.35235549459791726
214,m426,Thy1,pre,17-18,5,6,0.10510688711672095,0.0941430830037002,0.019812285900115967,1,0.4182504433162698
214,m426,Thy1,pre,39-40,5,3,1.3941654603737552,1.431192260001452,0.2811598777770996,1,2.8085602181931053
214,m426,Thy1,post,17-18,4,4,1.6188738038018584,1.3451479006639089,0.045910775661468506,1,2.0515706095910686
214,m426,Thy1,post,31-32,6,5,0.21616590828036206,0.11407687722901914,0.02280402183532715,1,-0.18632602347745136
214,m426,Thy1,post,39-40,6,7,0.850659273200704,0.34399420817562404,0.056974947452545166,1,0.07612128041984294
216,m392,Thy1,pre,17-18,7,6,0.2969585030467128,0.3814380482029444,0.01799917221069336,1,0.8245955837600606
216,m392,Thy1,pre,31-32,3,7,0.5157571388444642,0.36290947818214214,0.051057398319244385,1,0.4260465976031865
216,m392,Thy1,pre,39-40,4,5,2.041745771760241,1.9143283213361626,0.09993630647659302,1,0.7672699711740094
216,m392,Thy1,post,17-18,5,5,-0.010080562522562462,0.09701861433741395,0.00844430923461914,1,0.1287569649874847
216,m392,Thy1,post,31-32,8,6,0.2608747390981494,0.18064617995912968,0.017944753170013428,1,0.06561200621867312
216,m392,Thy1,post,39-40,7,3,2.6770199409646995,1.7557025432363988,0.04788726568222046,1,1.169836084720685
217,m426,Thy1,pre,17-18,6,7,1.7050427076580326,0.859968349636366,0.016871094703674316,1,0.46708968815240226
217,m426,Thy1,pre,31-32,4,6,0.4103559488283113,0.35583110944858576,0.011118113994598389,1,0.49923944568421125
217,m426,Thy1,pre,39-40,3,5,12.460308615138159,9.10809659783214,0.22510331869125366,1,6.828079959125385
217,m426,Thy1,post,17-18,4,5,0.1077604379976123,0.1778726782819033,0.011826038360595703,1,0.08775619558182639
217,m426,Thy1,post,31-32,4,6,0.46413787806731127,0.20781109472368672,0.025171756744384766,1,0.2500172775730368
217,m426,Thy1,post,39-40,6,3,0.27645915390879006,0.19100955524221067,0.016412436962127686,1,-0.1302287380856059
220,m392,Thy1,pre,17-18,7,4,1.1745649000952936,0.5414477206239905,0.01656728982925415,1,0.3940263232090532
220,m392,Thy1,pre,31-32,7,7,0.24094675230669876,0.3921878222122141,0.01370018720626831,1,0.6046460578778097
220,m392,Thy1,pre,39-40,6,4,2.560662297911134,1.9922032811857155,0.1171756386756897,1,1.0951469956303532
220,m392,Thy1,post,17-18,5,6,0.3746185554808157,0.353264850616923,0.014806926250457764,1,0.07575188761239975
220,m392,Thy1,post,31-32,4,7,0.22120275916950422,0.236232555586555,0.015775084495544434,1,-0.08556665925606931
220,m392,Thy1,post,39-40,6,3,4.48775970736611,2.7873698748645612,0.05764877796173096,1,5.1530295341445465
221,m426,Thy1,pre,17-18,5,4,0.4037360805518253,0.6614845134102101,0.0209963321685791,1,0.7409980278118654
221,m426,Thy1,pre,31-32,9,3,0.722432755246297,0.3124494036008143,0.01429837942123413,1,-0.08526696592665997
221,m426,Thy1,pre,39-40,2,5,7.0103065292497835,6.696918771733773,0.25564074516296387,1,6.4013703421891455
221,m426,Thy1,post,17-18,5,7,0.3781063822285147,0.4573799024528224,0.014336884021759033,1,-0.17446405866710127
221,m426,Thy1,post,31-32,6,5,0.7516051262989815,0.40241234564793155,0.034025609493255615,1,0.5953516292433281
221,m426,Thy1,post,39-40,3,9,0.2644635210554754,0.19000993461881396,0.04576081037521362,1,-0.11987931509869347
223,m392,Thy1,pre,17-18,5,2,0.17332921298732615,0.4814691591879786,0.02458477020263672,1,0.3707464427790976
223,m392,Thy1,pre,31-32,4,2,1.136249818540816,0.7115367741155898,0.029708147048950195,1,2.7021580950698145
223,m392,Thy1,pre,39-40,8,4,4.66992555938216,2.6378931720872503,0.1536213755607605,1,1.4599434741928263
223,m392,Thy1,post,17-18,8,3,0.7536036650864566,0.6626262547102274,0.021374523639678955,1,0.04058514254999893
223,m392,Thy1,post,31-32,4,5,0.26062789785795665,0.3317967534806375,0.02322453260421753,1,0.0990068588212998
223,m392,Thy1,post,39-40,6,3,3.634637344025128,2.0768407492571064,0.10949760675430298,1,1.4195049966936986
224,m426,Thy1,pre,17-18,3,3,1.4658184325813068,0.8515338107720649,0.029042720794677734,1,0.47009129808993677
224,m426,Thy1,pre,31-32,2,5,1.4443514738143874,1.2032031963958925,0.03319615125656128,1,0.6365472190932946
224,m426,Thy1,pre,39-40,6,6,4.381124271918948,2.1877597743859956,0.31204652786254883,1,2.192116171037921
224,m426,Thy1,post,17-18,7,3,1.0104831964272467,0.9672333749888598,0.028337955474853516,1,0.5681797420222633
224,m426,Thy1,post,31-32,7,5,0.13413503680474034,0.030237515397710604,0.018120884895324707,1,-0.14408009880292344
224,m426,Thy1,post,39-40,5,5,0.16442411809484964,0.2876549256584017,0.04084128141403198,1,0.0765653073565463
