group_id,mouse,line,objective,depth_class,population,negative_threshold_z,positive_threshold_z,state,unit_id,excitation_breadth,suppression_breadth,excitation_lifetime_sparseness,suppression_lifetime_sparseness,cohort,compartment
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g40,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g41,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g42,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g43,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g44,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g45,0.5333333333333333,0.0,0.6359798949411606,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g46,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g47,0.2,0.0,0.9717636309121594,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g48,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g49,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g50,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g51,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g52,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g53,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g54,0.4,0.0,0.9374079583919538,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g55,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g56,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g57,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g58,0.5333333333333333,0.0,0.8255961722654611,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g59,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g60,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g61,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g62,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g63,0.0,0.0,,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g64,0.06666666666666667,0.0,1.0,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g65,0.4666666666666667,0.0,0.7200647114877896,,DAT superficial,somas
175,m442,DAT,20x,superficial,somas,-0.7186551421880722,1.408634775876997,post,g66,0.06666666666666667,0.0,1.0,,DAT superficial,somas
