group_id,mouse,line,depth_class,cohort,state,odor_id,unit_id,positive_auc_z_s_soma,negative_auc_z_s_soma,positive_auc_z_s_process,negative_auc_z_s_process
175,m442,DAT,superficial,DAT superficial,post,1,g2,0.8339976039578044,0.7642142602084578,1.4404827463614616,0.43096191996154765
175,m442,DAT,superficial,DAT superficial,post,1,g3,0.624620905969577,1.009375545893937,0.49673860710480655,1.4719531865746733
175,m442,DAT,superficial,DAT superficial,post,1,g4,0.7380540403682003,1.0097854175384695,0.46886347238699716,1.428575821167413
175,m442,DAT,superficial,DAT superficial,post,1,g5,1.1415904471927356,1.1492592961964616,0.8215208699637884,0.888429419095165
175,m442,DAT,superficial,DAT superficial,post,1,g7,0.11986063136095759,2.412096769215852,0.6769389830805144,1.693261537232139
175,m442,DAT,superficial,DAT superficial,post,1,g8,2.5726141012982873,0.11264978458664081,1.2266212816289925,0.8225639326295712
175,m442,DAT,superficial,DAT superficial,post,1,g9,0.969638906288075,1.3151094367228242,1.052988151632839,1.1837454112224388
175,m442,DAT,superficial,DAT superficial,post,1,g10,1.3842694125645487,0.47803090590645836,1.4439580914235202,0.5893131964392039
175,m442,DAT,superficial,DAT superficial,post,1,g11,1.5461546792388623,0.4794933544324666,1.0003331019210793,0.4821868911310275
175,m442,DAT,superficial,DAT superficial,post,1,g12,0.7300206544381852,1.2344163037812073,0.4710173555594665,1.4593335934405836
175,m442,DAT,superficial,DAT superficial,post,1,g13,1.2373668038812744,0.6768538089281532,0.9295154291497413,0.5400604537924079
175,m442,DAT,superficial,DAT superficial,post,1,g15,1.4939068260836594,0.40583541091295655,0.8595841795516097,0.934057951842778
175,m442,DAT,superficial,DAT superficial,post,1,g18,0.8747377893786157,0.9959910337131571,1.5388609245774365,0.4984018905542203
175,m442,DAT,superficial,DAT superficial,post,1,g19,1.6491195467598143,0.5599503233898265,1.4142951055660853,0.3952774544410061
175,m442,DAT,superficial,DAT superficial,post,1,g22,2.3830449815852814,0.37746960464209856,1.3795900056907529,0.6927142256718674
175,m442,DAT,superficial,DAT superficial,post,1,g23,0.8046220878158791,0.8447865984171515,1.0267611398913046,0.5278188385186694
175,m442,DAT,superficial,DAT superficial,post,1,g24,2.470500761838431,0.2326385635519915,0.9822559425785233,0.8645817237465605
175,m442,DAT,superficial,DAT superficial,post,1,g26,1.9760652215612209,0.4017137320407454,2.3526682451244385,0.25675812239151574
175,m442,DAT,superficial,DAT superficial,post,1,g27,0.9526416556463047,1.0583193476671997,0.8268090152130195,0.860779880808306
175,m442,DAT,superficial,DAT superficial,post,1,g28,1.1880319025660595,0.8838173727888284,1.348016239299361,0.35840556788072603
175,m442,DAT,superficial,DAT superficial,post,1,g29,0.8381771796872447,1.0456111087908306,0.857914315041107,0.7229452909063251
175,m442,DAT,superficial,DAT superficial,post,1,g32,2.342737479190156,0.25570589988099474,0.9434804588818653,1.0370429372649543
175,m442,DAT,superficial,DAT superficial,post,1,g33,1.290727822227653,0.37664376767872393,1.3517923513147994,0.37985087492670144
175,m442,DAT,superficial,DAT superficial,post,1,g34,3.776333642827597,0.14406262786180865,3.5649394668241516,0.13440549510094169
175,m442,DAT,superficial,DAT superficial,post,1,g36,0.8483616154150951,1.5842157720169605,0.9403311718821129,0.7817998768420688
175,m442,DAT,superficial,DAT superficial,post,1,g37,0.6262823448653123,0.9960885023798536,0.8068296639083296,0.9321889908829714
175,m442,DAT,superficial,DAT superficial,post,1,g38,1.043864808116314,0.7057098157297752,1.5028195362547119,0.6433496865556065
175,m442,DAT,superficial,DAT superficial,post,1,g39,0.3987437941072936,2.693256947962826,0.6721301139034618,0.8391395905214626
175,m442,DAT,superficial,DAT superficial,post,1,g40,0.5530660366188577,0.9343145601492369,0.8176038324253528,1.3203124312802967
175,m442,DAT,superficial,DAT superficial,post,1,g41,1.4222231412254644,0.9230121419864677,0.43493656254786467,1.3780572490332372
175,m442,DAT,superficial,DAT superficial,post,1,g42,0.6856384376768825,0.9391119382651857,1.211971757533872,0.6987464995292878
175,m442,DAT,superficial,DAT superficial,post,1,g43,0.785633289786466,1.2052802029444651,0.473476969195779,0.924592747520605
175,m442,DAT,superficial,DAT superficial,post,1,g47,1.0767609296018124,0.3967413278365789,0.8346630283264944,0.7735986620153815
175,m442,DAT,superficial,DAT superficial,post,1,g48,0.7040551027136629,0.8879628097209562,1.3560703533959073,0.7969398042863123
175,m442,DAT,superficial,DAT superficial,post,1,g49,0.7539770911282377,0.7960901432257694,1.1239206239393946,0.6987379611732919
175,m442,DAT,superficial,DAT superficial,post,1,g51,1.3482049896953074,0.6143629752697448,1.0815537977789502,0.6284203801110569
175,m442,DAT,superficial,DAT superficial,post,1,g52,1.0877687562355745,0.651665759532814,1.5393775969950507,0.4145705031784733
175,m442,DAT,superficial,DAT superficial,post,1,g55,1.0468912455529518,0.7507824269784124,1.1021481092615835,0.4894533942750211
175,m442,DAT,superficial,DAT superficial,post,1,g56,0.8794396249143823,0.6974788858051492,0.901753537023082,0.831533408552686
175,m442,DAT,superficial,DAT superficial,post,1,g57,0.37482211010032285,1.4316150408672108,0.7568014632631989,0.9359955522987289
175,m442,DAT,superficial,DAT superficial,post,1,g58,0.6806334794246295,1.0953255534185542,1.051024529820499,0.8164019002787848
175,m442,DAT,superficial,DAT superficial,post,1,g60,0.9323195675286501,0.8234509431867536,1.1819812969992236,0.8016603235853526
175,m442,DAT,superficial,DAT superficial,post,1,g61,1.24522945570999,0.7173566909324758,1.3370839034542183,0.5708332193457196
175,m442,DAT,superficial,DAT superficial,post,1,g62,0.816472885980013,0.826669957269848,0.6153766030614536,1.1360314991035336
175,m442,DAT,superficial,DAT superficial,post,1,g64,0.7001055738335672,0.9745003799290014,0.8057333922337,0.6647779723188839
175,m442,DAT,superficial,DAT superficial,post,1,g65,1.0663541352958144,0.6084518967133151,0.8572307170324311,0.7115640044246575
175,m442,DAT,superficial,DAT superficial,post,1,g66,0.8157075004728231,0.8687209670795898,0.8442747494704775,1.213654267091973
175,m442,DAT,superficial,DAT superficial,post,1,g67,0.9877499406409839,1.4011038244667207,0.3341226401209475,1.7178730417381805
175,m442,DAT,superficial,DAT superficial,post,1,g68,0.8329427054903961,1.0676967868886045,1.1707172259155714,0.6155363086520503
175,m442,DAT,superficial,DAT superficial,post,1,g69,1.0168071549116917,0.6630554279664606,1.366982438830867,0.5456330219924032
175,m442,DAT,superficial,DAT superficial,post,1,g73,0.5847552269667843,1.1685606407188787,0.7118314282137544,1.0713854015727449
175,m442,DAT,superficial,DAT superficial,post,1,g74,1.1046746504941396,0.9643927426287306,1.0392091667967929,0.8112756619342893
175,m442,DAT,superficial,DAT superficial,post,1,g75,0.4741967210792708,1.04601920655313,1.0088520910450611,1.026616366974292
175,m442,DAT,superficial,DAT superficial,post,1,g76,1.8190022187647044,0.2973629433210681,1.5679245825488535,0.3623978162011435
