group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,n_odors,tuning_reliability_signed,tuning_reliability_excitation,tuning_reliability_suppression
175,m442,DAT,superficial,DAT superficial,somas,g1,post,14,0.8770497127402204,0.8770497127402204,
175,m442,DAT,superficial,DAT superficial,somas,g2,post,14,0.9357257913850832,0.936539168983475,-0.07692307692307694
175,m442,DAT,superficial,DAT superficial,somas,g3,post,14,0.9678985722797304,0.9707836198723896,0.3117710863887771
175,m442,DAT,superficial,DAT superficial,somas,g4,post,14,0.06017943461185766,0.06626194012576112,-0.14067866424289993
175,m442,DAT,superficial,DAT superficial,somas,g5,post,14,0.5935781847752284,0.7237015155628854,-0.10364800869948923
175,m442,DAT,superficial,DAT superficial,somas,g6,post,14,0.9309463599166766,0.9309463599166766,
175,m442,DAT,superficial,DAT superficial,somas,g7,post,14,0.2916196623978847,-0.10393613834109433,0.28988187718349234
175,m442,DAT,superficial,DAT superficial,somas,g8,post,14,0.35849020932960574,0.4153789996612206,-0.10877324368168831
175,m442,DAT,superficial,DAT superficial,somas,g9,post,14,0.9889002986732698,0.9890340934232105,0.32635058484411084
175,m442,DAT,superficial,DAT superficial,somas,g10,post,14,0.9894932908980874,0.98988090693682,-0.07692307692307694
175,m442,DAT,superficial,DAT superficial,somas,g11,post,14,0.5912450348445909,0.665380424879072,-0.045005323289402106
175,m442,DAT,superficial,DAT superficial,somas,g12,post,14,-0.10611770491857568,-0.26719424505710204,-0.09798452275181363
175,m442,DAT,superficial,DAT superficial,somas,g13,post,14,0.7899436194691722,0.8452375833162973,0.23355954996309644
175,m442,DAT,superficial,DAT superficial,somas,g14,post,14,0.9277769254036792,0.9622159683156236,0.5072293085672945
175,m442,DAT,superficial,DAT superficial,somas,g15,post,14,0.884822634009045,0.8870772684677894,-0.0769230769230769
175,m442,DAT,superficial,DAT superficial,somas,g16,post,14,0.9035131588757634,0.9035131588757634,
175,m442,DAT,superficial,DAT superficial,somas,g17,post,14,-0.22900251808657218,-0.2140548279715092,-0.25539847558701245
175,m442,DAT,superficial,DAT superficial,somas,g18,post,14,0.050959051928866,0.14490072011345528,0.07916095120832806
175,m442,DAT,superficial,DAT superficial,somas,g19,post,14,0.5540232989748766,0.5505489700676347,0.2598635494903851
175,m442,DAT,superficial,DAT superficial,somas,g20,post,14,0.09237059483159646,0.13625603912754825,-0.14669541622375226
175,m442,DAT,superficial,DAT superficial,somas,g21,post,14,0.9740024068622523,0.9786697130138524,0.12662690388880057
175,m442,DAT,superficial,DAT superficial,somas,g22,post,14,0.43930942837614306,0.485223917213008,0.307950418765297
175,m442,DAT,superficial,DAT superficial,somas,g23,post,14,0.9504211913505675,0.9506063023571322,-0.07692307692307693
175,m442,DAT,superficial,DAT superficial,somas,g24,post,14,0.24415059759354402,0.2456358382696675,-0.07692307692307696
175,m442,DAT,superficial,DAT superficial,somas,g25,post,14,0.9278544214925595,0.9533946850691448,-0.06445101849125119
175,m442,DAT,superficial,DAT superficial,somas,g26,post,14,0.3273950517289146,0.32766619332681324,-0.09994786418150643
175,m442,DAT,superficial,DAT superficial,somas,g27,post,14,0.03336491609519718,-0.015057151575063411,-0.17850086272295534
