group_id,mouse,line,depth_class,cohort,compartment,state,unit_id,excitation_auc_lifetime_sparseness,suppression_auc_lifetime_sparseness,median_positive_auc_z_s,median_negative_auc_z_s
175,m442,DAT,superficial,DAT superficial,processes,post,g10,0.8137355444618485,0.4641362879139168,5.4000691716602,0.21446800733307433
175,m442,DAT,superficial,DAT superficial,processes,post,g100,0.30576797204769884,0.1793967092334873,0.9817224414506568,0.8158639654590649
175,m442,DAT,superficial,DAT superficial,processes,post,g101,0.7604525438478537,0.4913118794031847,4.208872012755425,0.1495060872243857
175,m442,DAT,superficial,DAT superficial,processes,post,g103,0.4776413316398338,0.10531265006470138,0.7208573113182403,1.0015283441754301
175,m442,DAT,superficial,DAT superficial,processes,post,g104,0.300148693772898,0.12992549838122075,0.8501725260824342,0.6795386207082401
175,m442,DAT,superficial,DAT superficial,processes,post,g106,0.1461538834442707,0.1380502833076735,0.9867983384829323,0.8522629948839059
175,m442,DAT,superficial,DAT superficial,processes,post,g107,0.30916722013603676,0.10381128055860825,0.7604472061579195,0.8480798002840974
175,m442,DAT,superficial,DAT superficial,processes,post,g108,0.806297876112476,0.11508639897184199,0.9269910723599646,0.8563183923401754
175,m442,DAT,superficial,DAT superficial,processes,post,g109,0.36414003175891185,0.5381597762436701,2.4185718405150705,0.241104080169802
175,m442,DAT,superficial,DAT superficial,processes,post,g11,0.44454622945845984,0.3072102350684319,1.0003331019210793,0.6966413408425058
175,m442,DAT,superficial,DAT superficial,processes,post,g110,0.8724104158368914,0.5563714549205778,2.725060308319798,0.27617454522483004
175,m442,DAT,superficial,DAT superficial,processes,post,g111,0.7194180036440059,0.5020709507576144,5.929433804070678,0.23246712505333833
175,m442,DAT,superficial,DAT superficial,processes,post,g113,0.6703470232998829,0.49277479006866876,4.850271331761663,0.18496392419227908
175,m442,DAT,superficial,DAT superficial,processes,post,g114,0.4893286332198123,0.1850137299877944,0.9127610803827384,0.7466156427805177
175,m442,DAT,superficial,DAT superficial,processes,post,g115,0.8420972148196665,0.4651046106268821,1.5463648251251474,0.3955035086433448
175,m442,DAT,superficial,DAT superficial,processes,post,g116,0.46090204048833955,0.4551368420537867,5.63605362302154,0.30976880399303897
175,m442,DAT,superficial,DAT superficial,processes,post,g117,0.8481843763022654,0.49302114553427995,4.35916071179654,0.2130789970101818
175,m442,DAT,superficial,DAT superficial,processes,post,g118,0.9279943258858327,0.3880309025941638,1.3687932499354627,0.6168125734010054
175,m442,DAT,superficial,DAT superficial,processes,post,g12,0.141928419573249,0.15022819995747966,0.7126567319552836,0.9505021946620844
175,m442,DAT,superficial,DAT superficial,processes,post,g120,0.2662594415696378,0.072510047491096,0.6961718345183255,0.8350017220956035
175,m442,DAT,superficial,DAT superficial,processes,post,g121,0.5537653422536107,0.17475737600097252,1.25740118554132,0.4634275890612525
175,m442,DAT,superficial,DAT superficial,processes,post,g122,0.729821662000792,0.19183931492108677,0.9319844370195912,0.6994186087215468
175,m442,DAT,superficial,DAT superficial,processes,post,g125,0.4917312338488995,0.19909752808509035,0.745987169150631,0.8979865258388291
175,m442,DAT,superficial,DAT superficial,processes,post,g126,0.8917350273486242,0.3838327857543788,1.5033095593103616,0.43918332401258825
175,m442,DAT,superficial,DAT superficial,processes,post,g127,0.7095361132444055,0.4486498060800479,1.8977882054297008,0.23619461627315985
175,m442,DAT,superficial,DAT superficial,processes,post,g128,0.13258870794975275,0.21375524739999752,0.710615415940317,0.7306005672997369
175,m442,DAT,superficial,DAT superficial,processes,post,g13,0.8785445488081821,0.26982770935633466,1.5289777468645136,0.5214906438067056
175,m442,DAT,superficial,DAT superficial,processes,post,g131,0.4501455769355643,0.088631808646164,0.8303600968931606,0.9236535713721181
175,m442,DAT,superficial,DAT superficial,processes,post,g132,0.682541571342214,0.35585885672616535,1.21801741682365,0.4667849216440794
175,m442,DAT,superficial,DAT superficial,processes,post,g133,0.7323000719309579,0.37871209404486145,1.148284864989395,0.5078194581227212
175,m442,DAT,superficial,DAT superficial,processes,post,g134,0.13529802517414555,0.3503583961851978,1.2482370638407274,0.5993611630000116
175,m442,DAT,superficial,DAT superficial,processes,post,g135,0.6582504050334507,0.1103820233265979,0.7896943712978187,0.9576158670409678
175,m442,DAT,superficial,DAT superficial,processes,post,g139,0.8889022925502056,0.1782874485510097,1.2093171489263903,0.6158519436899474
175,m442,DAT,superficial,DAT superficial,processes,post,g140,0.5085704852470766,0.20794118269712272,1.127205494396031,0.8226284424079664
175,m442,DAT,superficial,DAT superficial,processes,post,g144,0.11058160609512602,0.01881969733145809,0.824560487335284,0.897276609885406
175,m442,DAT,superficial,DAT superficial,processes,post,g145,0.4092807652686454,0.22501695693525006,1.3302963214321744,0.4374997405526424
175,m442,DAT,superficial,DAT superficial,processes,post,g146,0.4196140771248243,0.21053285896942422,3.8510512163256863,0.33835607777359994
175,m442,DAT,superficial,DAT superficial,processes,post,g15,0.43360231434078605,0.46643969679984676,2.5854945767682547,0.5570181980102804
175,m442,DAT,superficial,DAT superficial,processes,post,g150,0.18178827983632298,0.11184800480478976,0.793663115497621,1.0090795301470485
175,m442,DAT,superficial,DAT superficial,processes,post,g151,0.7209766013639674,0.324756695483203,1.0323217355809775,0.6003855476228521
175,m442,DAT,superficial,DAT superficial,processes,post,g153,0.26208300576496485,0.17973576315861844,0.9328973595951686,0.7084958676494569
175,m442,DAT,superficial,DAT superficial,processes,post,g156,0.42931779305207807,0.1583827954188293,1.263654978427637,0.6502673720649713
175,m442,DAT,superficial,DAT superficial,processes,post,g157,0.9319785498687472,0.3560479381813894,1.435305387291392,0.3658461660745763
175,m442,DAT,superficial,DAT superficial,processes,post,g158,0.9000693271645422,0.30368369612037244,1.091477425752468,0.5597915423207565
175,m442,DAT,superficial,DAT superficial,processes,post,g159,0.9023292159736866,0.46585054894215316,1.7161081049456879,0.3298937532459345
175,m442,DAT,superficial,DAT superficial,processes,post,g160,0.8127896445231549,0.2284802999939184,1.0150894857304262,0.6999785298912279
175,m442,DAT,superficial,DAT superficial,processes,post,g161,0.820661744037459,0.23022258387432634,1.0180232914394325,0.6937768948122186
175,m442,DAT,superficial,DAT superficial,processes,post,g163,0.6828669280726606,0.2680196509615142,1.31700445256451,0.58821927068002
175,m442,DAT,superficial,DAT superficial,processes,post,g164,0.6282276115577015,0.15292000191081095,0.7608581377293083,1.0163998752292962
175,m442,DAT,superficial,DAT superficial,processes,post,g165,0.27003271686243396,0.2361852150114748,0.926207509085461,0.734562175566234
175,m442,DAT,superficial,DAT superficial,processes,post,g167,0.7395667312571209,0.5042814448682628,4.044681412408988,0.18002290926072292
175,m442,DAT,superficial,DAT superficial,processes,post,g168,0.8298027695464466,0.13888885514964894,0.6656408874613733,0.9491161328445612
175,m442,DAT,superficial,DAT superficial,processes,post,g171,0.6209831907140808,0.18518456650797,0.8927662322729126,0.8543866534144221
175,m442,DAT,superficial,DAT superficial,processes,post,g173,0.411162085502427,0.19394215787445612,1.0845427078817877,0.7198229653524799
175,m442,DAT,superficial,DAT superficial,processes,post,g179,0.49409368832669753,0.13120638306302523,0.8438474917815616,0.752773399002016
175,m442,DAT,superficial,DAT superficial,processes,post,g18,0.18515716703009072,0.227283506353215,1.0313664989121571,0.5962077475134671
175,m442,DAT,superficial,DAT superficial,processes,post,g182,0.138530748946649,0.06605165009625114,0.6017441803754187,1.0733894740258303
175,m442,DAT,superficial,DAT superficial,processes,post,g183,0.1152602790718417,0.11573230022706255,0.8228574969607102,0.8771531983157131
175,m442,DAT,superficial,DAT superficial,processes,post,g185,0.3307961706243976,0.1333198689037829,1.251770724140763,0.5529281178182811
175,m442,DAT,superficial,DAT superficial,processes,post,g186,0.9194388698516593,0.4915633046163448,1.983035835819364,0.40900779444155855
175,m442,DAT,superficial,DAT superficial,processes,post,g187,0.22827775195342837,0.13416611018268004,0.9929971610411764,0.7264891758293766
175,m442,DAT,superficial,DAT superficial,processes,post,g189,0.15348715277001787,0.10510358629237929,0.7615467530485326,0.8825513968175008
175,m442,DAT,superficial,DAT superficial,processes,post,g19,0.24898381575031153,0.2761193323247617,1.3081917385780428,0.6130942948122785
175,m442,DAT,superficial,DAT superficial,processes,post,g191,0.08619256046418622,0.1884510280625874,1.3408144050169235,0.52415407678679
175,m442,DAT,superficial,DAT superficial,processes,post,g192,0.2044407300390252,0.21365310442260607,0.6554509845441946,1.1516764652580316
175,m442,DAT,superficial,DAT superficial,processes,post,g196,0.307601409965523,0.37116193603476777,1.5005043142282097,0.639167737938268
175,m442,DAT,superficial,DAT superficial,processes,post,g197,0.18616509855543212,0.03735547045502421,0.8500610786799455,0.856440477840699
175,m442,DAT,superficial,DAT superficial,processes,post,g198,0.2512444346646885,0.6304966687023192,3.051918851022254,0.2829467152239398
