group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,suppression_vs_pupil_rho,suppression_vs_running_rho,excitation_vs_pupil_rho,excitation_vs_running_rho
175,m442,DAT,superficial,DAT superficial,somas,g1,88,0.06896551724137931,0.6572670690061992,-0.2418371778055731,-0.27386127875258304,0.5377493131818578
175,m442,DAT,superficial,DAT superficial,somas,g2,88,0.06896551724137931,-0.1460593486680443,-0.08752923250012114,-0.6207522318391883,0.4082309477166773
175,m442,DAT,superficial,DAT superficial,somas,g3,88,0.06896551724137931,-0.03651483716701107,-0.15524492955279345,-0.018257418583505537,0.6164002376356567
175,m442,DAT,superficial,DAT superficial,somas,g4,88,0.06896551724137931,0.7120393247567159,-0.15761659620893753,-0.27386127875258304,0.35538096821361226
175,m442,DAT,superficial,DAT superficial,somas,g5,88,0.06896551724137931,0.4199206274206274,-0.18791012515448427,-0.18257418583505539,0.3699784259320774
175,m442,DAT,superficial,DAT superficial,somas,g6,88,0.06896551724137931,0.31037611591959413,-0.0953427442742436,0.018257418583505537,0.00879024101796701
175,m442,DAT,superficial,DAT superficial,somas,g7,88,0.06896551724137931,-0.2556038601690775,-0.3820001104961541,0.2008316044185609,0.4186172540589981
175,m442,DAT,superficial,DAT superficial,somas,g8,88,0.06896551724137931,-0.1460593486680443,-0.017474787755156863,-0.2008316044185609,-0.002457392028068934
175,m442,DAT,superficial,DAT superficial,somas,g9,88,0.06896551724137931,0.09128709291752769,-0.33295165655595105,-0.5294651389216606,0.5742458353190333
175,m442,DAT,superficial,DAT superficial,somas,g10,88,0.06896551724137931,-0.5477225575051661,0.00695860515014808,0.09128709291752769,0.295521209052935
175,m442,DAT,superficial,DAT superficial,somas,g11,88,0.06896551724137931,0.5477225575051661,-0.3590919150120301,-0.18257418583505539,0.4517373560415752
175,m442,DAT,superficial,DAT superficial,somas,g12,88,0.06896551724137931,0.43817804600413285,0.07013696315237607,0.5477225575051661,0.10920028858710132
175,m442,DAT,superficial,DAT superficial,somas,g13,88,0.06896551724137931,0.5477225575051661,-0.33066015348297445,-0.5294651389216606,0.43219462499439226
175,m442,DAT,superficial,DAT superficial,somas,g14,88,0.06896551724137931,0.474692883171144,-0.1276214401100531,-0.6390096504226939,0.3230780114146774
175,m442,DAT,superficial,DAT superficial,somas,g15,88,0.06896551724137931,-0.3468909530866052,-0.10421863217771454,0.18257418583505539,-0.08001057054830893
175,m442,DAT,superficial,DAT superficial,somas,g16,88,0.06896551724137931,0.4016632088371218,0.05954950274721059,0.09128709291752769,0.002646760947794676
175,m442,DAT,superficial,DAT superficial,somas,g17,88,0.06896551724137931,-0.38340579025361626,-0.2311466197775092,-0.018257418583505537,0.4133174849790781
175,m442,DAT,superficial,DAT superficial,somas,g18,88,0.06896551724137931,0.7668115805072325,-0.217087244859552,-0.7302967433402215,0.3027846201495797
