group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,baseline_f,f0_log2_post_pre
175,m442,DAT,superficial,DAT superficial,somas,g61,post,315.5375061035156,-3.6696832525283507
175,m442,DAT,superficial,DAT superficial,somas,g62,post,1312.0233154296875,-2.186309805664788
175,m442,DAT,superficial,DAT superficial,somas,g63,post,1839.08056640625,0.6181909641059851
175,m442,DAT,superficial,DAT superficial,somas,g64,post,1607.538330078125,-1.7192333149827166
175,m442,DAT,superficial,DAT superficial,somas,g65,post,3825.199951171875,-1.5935933751187614
175,m442,DAT,superficial,DAT superficial,somas,g66,post,2927.69873046875,-1.8525976133691635
175,m442,DAT,superficial,DAT superficial,somas,g67,post,1964.0150146484375,-1.649882838900084
175,m442,DAT,superficial,DAT superficial,somas,g68,post,1027.03857421875,-2.2821937111465753
175,m442,DAT,superficial,DAT superficial,somas,g69,post,1524.6519775390625,-2.693489143230623
175,m442,DAT,superficial,DAT superficial,somas,g70,post,788.8836059570312,-3.088091787383092
175,m442,DAT,superficial,DAT superficial,somas,g71,post,1848.3204345703125,-1.776178112875187
175,m442,DAT,superficial,DAT superficial,somas,g72,post,1364.7744140625,-2.2216412140859383
175,m442,DAT,superficial,DAT superficial,somas,g73,post,2504.481201171875,-1.8685286966281467
175,m442,DAT,superficial,DAT superficial,somas,g74,post,2803.69384765625,-1.5035019812475834
175,m442,DAT,superficial,DAT superficial,somas,g75,post,1142.61669921875,-1.2329419260573704
175,m442,DAT,superficial,DAT superficial,somas,g76,post,2806.599853515625,-1.4984023347164583
175,m442,DAT,superficial,DAT superficial,somas,g77,post,441.7222595214844,-4.668640533055007
175,m442,DAT,superficial,DAT superficial,somas,g78,post,1565.0947265625,-2.0596197432248737
175,m442,DAT,superficial,DAT superficial,somas,g79,post,1290.9659423828125,-2.5076126943686674
175,m442,DAT,superficial,DAT superficial,somas,g80,post,1266.14208984375,-1.4042450728186286
175,m442,DAT,superficial,DAT superficial,somas,g81,post,1326.890625,-2.0959371117724577
175,m442,DAT,superficial,DAT superficial,somas,g82,post,3553.858154296875,-1.3159366235859435
175,m442,DAT,superficial,DAT superficial,somas,g83,post,7797.220703125,-0.9896831884055648
175,m442,DAT,superficial,DAT superficial,somas,g84,post,1309.3492431640625,-1.425821621066829
175,m442,DAT,superficial,DAT superficial,somas,g85,post,2079.90576171875,-1.4815926655299225
175,m442,DAT,superficial,DAT superficial,somas,g86,post,345.88201904296875,-3.1726302192668663
175,m442,DAT,superficial,DAT superficial,somas,g87,post,1303.1268310546875,-1.5618790053144833
175,m442,DAT,superficial,DAT superficial,somas,g88,post,1429.381103515625,-2.3513864091807473
175,m442,DAT,superficial,DAT superficial,somas,g89,post,2248.182861328125,-1.6486774080532018
175,m442,DAT,superficial,DAT superficial,somas,g90,post,772.7666015625,-1.3101537560044965
175,m442,DAT,superficial,DAT superficial,somas,g91,post,2303.93603515625,-1.4241548440846226
175,m442,DAT,superficial,DAT superficial,somas,g92,post,1730.5372314453125,-1.196133753008447
175,m442,DAT,superficial,DAT superficial,somas,g93,post,948.126708984375,-2.224053144031095
175,m442,DAT,superficial,DAT superficial,somas,g94,post,1272.443115234375,-0.7471666876422616
175,m442,DAT,superficial,DAT superficial,somas,g95,post,4044.526611328125,-1.2506315329051714
175,m442,DAT,superficial,DAT superficial,somas,g96,post,927.1985473632812,-3.150651963811633
175,m442,DAT,superficial,DAT superficial,somas,g97,post,971.1829833984375,-1.2376292916330511
175,m442,DAT,superficial,DAT superficial,somas,g98,post,1957.5499267578125,-1.5170217659575904
175,m442,DAT,superficial,DAT superficial,somas,g99,post,3514.679931640625,-1.3119022943783811
175,m442,DAT,superficial,DAT superficial,somas,g100,post,1579.276611328125,-2.2616884826125045
175,m442,DAT,superficial,DAT superficial,somas,g101,post,979.6133422851562,-2.0919021580485597
175,m442,DAT,superficial,DAT superficial,somas,g102,post,1496.4580078125,-1.8202053152190485
175,m442,DAT,superficial,DAT superficial,somas,g103,post,1408.8841552734375,-1.9163008484159312
175,m442,DAT,superficial,DAT superficial,somas,g104,post,878.3904418945312,-2.5005780347667232
175,m442,DAT,superficial,DAT superficial,somas,g105,post,5162.576171875,-0.9913311735557802
175,m442,DAT,superficial,DAT superficial,somas,g106,post,1509.4490966796875,-1.83632106377487
175,m442,DAT,superficial,DAT superficial,somas,g107,post,1103.147705078125,-2.350516134964195
175,m442,DAT,superficial,DAT superficial,somas,g108,post,344.64727783203125,-2.159064332521336
175,m442,DAT,superficial,DAT superficial,somas,g109,post,2301.7197265625,-1.8558092992441446
175,m442,DAT,superficial,DAT superficial,somas,g110,post,1423.2650146484375,-1.4882458178892004
175,m442,DAT,superficial,DAT superficial,somas,g111,post,1695.4339599609375,-2.597954564199832
175,m442,DAT,superficial,DAT superficial,somas,g112,post,207.8637237548828,-3.553777971680727
175,m442,DAT,superficial,DAT superficial,somas,g113,post,869.1752319335938,-2.8841387372702476
175,m442,DAT,superficial,DAT superficial,somas,g114,post,876.7145385742188,-1.7986553400416754
175,m442,DAT,superficial,DAT superficial,somas,g115,post,648.4116821289062,-1.6404436052177545
175,m442,DAT,superficial,DAT superficial,somas,g116,post,2994.94091796875,-1.4723623014449194
175,m442,DAT,superficial,DAT superficial,somas,g117,post,1162.4427490234375,-1.6709338069147925
175,m442,DAT,superficial,DAT superficial,somas,g118,post,1872.22314453125,-2.35945120184668
175,m442,DAT,superficial,DAT superficial,somas,g119,post,2024.153076171875,-1.8633323116122797
175,m442,DAT,superficial,DAT superficial,somas,g120,post,2002.345947265625,-1.9501996505059709
175,m442,DAT,superficial,DAT superficial,somas,g121,post,1413.291015625,-1.113177461448305
175,m442,DAT,superficial,DAT superficial,somas,g122,post,623.1453857421875,-2.4070283261826795
175,m442,DAT,superficial,DAT superficial,somas,g123,post,601.81201171875,-2.16731456315751
175,m442,DAT,superficial,DAT superficial,somas,g124,post,744.5996704101562,-2.806804087848253
175,m442,DAT,superficial,DAT superficial,somas,g125,post,1428.5662841796875,-1.1796122826724793
175,m442,DAT,superficial,DAT superficial,somas,g126,post,514.27294921875,-2.526383503384783
175,m442,DAT,superficial,DAT superficial,somas,g127,post,1062.0833740234375,-2.4510697151679137
175,m442,DAT,superficial,DAT superficial,somas,g128,post,2286.28857421875,-0.8431420561322447
175,m442,DAT,superficial,DAT superficial,somas,g129,post,363.5323486328125,-3.731777546640541
175,m442,DAT,superficial,DAT superficial,somas,g130,post,881.779052734375,-2.2709957991432344
175,m442,DAT,superficial,DAT superficial,somas,g131,post,836.261474609375,-2.636874225971447
175,m442,DAT,superficial,DAT superficial,somas,g132,post,1259.0465087890625,-1.7856237934131376
175,m442,DAT,superficial,DAT superficial,somas,g133,post,782.84765625,-1.8416926916818253
175,m442,DAT,superficial,DAT superficial,somas,g134,post,1471.8497314453125,-1.1355997637005526
175,m442,DAT,superficial,DAT superficial,somas,g135,post,1067.6287841796875,-2.606710265222505
175,m442,DAT,superficial,DAT superficial,somas,g136,post,958.6994018554688,-1.158107766578575
175,m442,DAT,superficial,DAT superficial,somas,g137,post,1812.1495361328125,-2.262467652505606
175,m442,DAT,superficial,DAT superficial,somas,g138,post,930.7757568359375,-2.438775938842213
175,m442,DAT,superficial,DAT superficial,somas,g139,post,1557.3826904296875,-1.9449167136025935
175,m442,DAT,superficial,DAT superficial,somas,g140,post,744.3953247070312,-2.3584276533356205
175,m442,DAT,superficial,DAT superficial,somas,g141,post,4405.20947265625,-0.9856746564213978
175,m442,DAT,superficial,DAT superficial,somas,g142,post,854.154052734375,-2.3875420961845673
175,m442,DAT,superficial,DAT superficial,somas,g143,post,912.79931640625,-1.3184837376822731
175,m442,DAT,superficial,DAT superficial,somas,g144,post,1223.64404296875,-1.450861124880554
175,m442,DAT,superficial,DAT superficial,somas,g145,post,608.8709106445312,-1.4584019883590886
175,m442,DAT,superficial,DAT superficial,somas,g146,post,819.00048828125,-1.6748092674079522
175,m442,DAT,superficial,DAT superficial,somas,g147,post,1579.26904296875,-2.0396032874346126
175,m442,DAT,superficial,DAT superficial,somas,g148,post,4173.75341796875,-0.9430382158483698
175,m442,DAT,superficial,DAT superficial,somas,g149,post,1460.8397216796875,-0.8274719075753335
175,m442,DAT,superficial,DAT superficial,somas,g150,post,1017.7677612304688,-1.9158666749803799
175,m442,DAT,superficial,DAT superficial,somas,g151,post,1826.6790771484375,-1.7516916888865222
175,m442,DAT,superficial,DAT superficial,somas,g152,post,1447.159423828125,-2.1678590292498816
175,m442,DAT,superficial,DAT superficial,somas,g153,post,775.2195434570312,-2.473248189642935
175,m442,DAT,superficial,DAT superficial,somas,g154,post,1802.5548095703125,-1.6630034187327338
175,m442,DAT,superficial,DAT superficial,somas,g155,post,2579.593994140625,-1.5642922350568351
175,m442,DAT,superficial,DAT superficial,somas,g156,post,1406.0089111328125,-1.7238444468897678
