group_id,mouse,line,depth_class,cohort,compartment,state,odor_id,population_pattern_reliability,n_trials
177,m442,DAT,superficial,DAT superficial,somas,post,40,0.5002492666244507,13
177,m442,DAT,superficial,DAT superficial,somas,pre,1,0.863553524017334,9
177,m442,DAT,superficial,DAT superficial,somas,pre,2,0.7084414958953857,5
177,m442,DAT,superficial,DAT superficial,somas,pre,3,0.6233113408088684,9
177,m442,DAT,superficial,DAT superficial,somas,pre,4,0.5090269446372986,5
177,m442,DAT,superficial,DAT superficial,somas,pre,10,0.5716692805290222,6
177,m442,DAT,superficial,DAT superficial,somas,pre,12,0.7519099116325378,5
177,m442,DAT,superficial,DAT superficial,somas,pre,17,0.800818681716919,8
177,m442,DAT,superficial,DAT superficial,somas,pre,18,0.7929393649101257,4
177,m442,DAT,superficial,DAT superficial,somas,pre,21,0.9556179046630859,7
177,m442,DAT,superficial,DAT superficial,somas,pre,22,0.933980405330658,7
177,m442,DAT,superficial,DAT superficial,somas,pre,30,0.9365341663360596,6
177,m442,DAT,superficial,DAT superficial,somas,pre,31,0.9598678350448608,10
177,m442,DAT,superficial,DAT superficial,somas,pre,32,0.9453206062316895,7
177,m442,DAT,superficial,DAT superficial,somas,pre,39,0.6242591142654419,5
177,m442,DAT,superficial,DAT superficial,somas,pre,40,0.721904993057251,7
177,m442,DAT,superficial,DAT superficial,processes,post,1,0.41185837984085083,7
177,m442,DAT,superficial,DAT superficial,processes,post,2,0.6146734952926636,7
177,m442,DAT,superficial,DAT superficial,processes,post,3,0.5952526330947876,8
177,m442,DAT,superficial,DAT superficial,processes,post,4,0.49851858615875244,8
177,m442,DAT,superficial,DAT superficial,processes,post,10,0.21520118415355682,4
177,m442,DAT,superficial,DAT superficial,processes,post,12,0.5584933757781982,11
177,m442,DAT,superficial,DAT superficial,processes,post,17,0.8361300826072693,5
177,m442,DAT,superficial,DAT superficial,processes,post,18,0.6983095407485962,4
177,m442,DAT,superficial,DAT superficial,processes,post,21,0.9880092144012451,8
177,m442,DAT,superficial,DAT superficial,processes,post,22,0.8211860656738281,7
177,m442,DAT,superficial,DAT superficial,processes,post,30,0.9136558175086975,6
177,m442,DAT,superficial,DAT superficial,processes,post,31,0.936124324798584,7
177,m442,DAT,superficial,DAT superficial,processes,post,32,0.9423480033874512,6
177,m442,DAT,superficial,DAT superficial,processes,post,39,0.6249186396598816,6
177,m442,DAT,superficial,DAT superficial,processes,post,40,0.5578316450119019,13
177,m442,DAT,superficial,DAT superficial,processes,pre,1,0.8448734283447266,9
177,m442,DAT,superficial,DAT superficial,processes,pre,2,0.7927729487419128,5
177,m442,DAT,superficial,DAT superficial,processes,pre,3,0.7521176934242249,9
177,m442,DAT,superficial,DAT superficial,processes,pre,4,0.4239645004272461,5
177,m442,DAT,superficial,DAT superficial,processes,pre,10,0.49916329979896545,6
177,m442,DAT,superficial,DAT superficial,processes,pre,12,0.7595008611679077,5
177,m442,DAT,superficial,DAT superficial,processes,pre,17,0.827857255935669,8
177,m442,DAT,superficial,DAT superficial,processes,pre,18,0.7255362868309021,4
177,m442,DAT,superficial,DAT superficial,processes,pre,21,0.9436579942703247,7
177,m442,DAT,superficial,DAT superficial,processes,pre,22,0.9406362771987915,7
177,m442,DAT,superficial,DAT superficial,processes,pre,30,0.9647977948188782,6
177,m442,DAT,superficial,DAT superficial,processes,pre,31,0.9706626534461975,10
177,m442,DAT,superficial,DAT superficial,processes,pre,32,0.9563895463943481,7
177,m442,DAT,superficial,DAT superficial,processes,pre,39,0.5151358246803284,5
177,m442,DAT,superficial,DAT superficial,processes,pre,40,0.5741821527481079,7
205,m357,TH,deep,TH deep,somas,post,1,0.7776584029197693,5
205,m357,TH,deep,TH deep,somas,post,2,0.846109926700592,7
205,m357,TH,deep,TH deep,somas,post,3,0.8832942247390747,6
205,m357,TH,deep,TH deep,somas,post,4,0.7345312237739563,10
205,m357,TH,deep,TH deep,somas,post,10,0.5428825616836548,10
205,m357,TH,deep,TH deep,somas,post,12,0.4760335087776184,5
205,m357,TH,deep,TH deep,somas,post,17,0.6596339344978333,4
205,m357,TH,deep,TH deep,somas,post,18,0.8290802240371704,8
205,m357,TH,deep,TH deep,somas,post,21,0.9226759076118469,14
205,m357,TH,deep,TH deep,somas,post,22,0.9147690534591675,8
205,m357,TH,deep,TH deep,somas,post,30,0.6616870164871216,3
205,m357,TH,deep,TH deep,somas,post,31,0.9413273334503174,8
205,m357,TH,deep,TH deep,somas,post,32,0.8042275905609131,4
205,m357,TH,deep,TH deep,somas,post,39,0.8554123640060425,6
205,m357,TH,deep,TH deep,somas,post,40,0.7869196534156799,6
205,m357,TH,deep,TH deep,somas,pre,1,0.5187664031982422,6
205,m357,TH,deep,TH deep,somas,pre,2,0.917610764503479,8
205,m357,TH,deep,TH deep,somas,pre,3,0.9079161286354065,6
205,m357,TH,deep,TH deep,somas,pre,4,0.7631449699401855,11
205,m357,TH,deep,TH deep,somas,pre,10,0.7692219018936157,9
205,m357,TH,deep,TH deep,somas,pre,12,0.8131872415542603,12
205,m357,TH,deep,TH deep,somas,pre,17,0.9190136790275574,6
205,m357,TH,deep,TH deep,somas,pre,18,0.905312716960907,5
205,m357,TH,deep,TH deep,somas,pre,21,0.9133608341217041,10
205,m357,TH,deep,TH deep,somas,pre,22,0.5608016848564148,5
205,m357,TH,deep,TH deep,somas,pre,30,0.6992809176445007,4
205,m357,TH,deep,TH deep,somas,pre,31,0.7410449981689453,5
205,m357,TH,deep,TH deep,somas,pre,32,0.8473883867263794,8
205,m357,TH,deep,TH deep,somas,pre,39,0.6439254283905029,2
205,m357,TH,deep,TH deep,somas,pre,40,0.8267173767089844,6
205,m357,TH,deep,TH deep,processes,post,1,0.9129461050033569,5
205,m357,TH,deep,TH deep,processes,post,2,0.9263356328010559,7
205,m357,TH,deep,TH deep,processes,post,3,0.9264804124832153,6
205,m357,TH,deep,TH deep,processes,post,4,0.8285990953445435,10
205,m357,TH,deep,TH deep,processes,post,10,0.867925226688385,10
205,m357,TH,deep,TH deep,processes,post,12,0.8203084468841553,5
205,m357,TH,deep,TH deep,processes,post,17,0.8493227362632751,4
205,m357,TH,deep,TH deep,processes,post,18,0.9398465752601624,8
205,m357,TH,deep,TH deep,processes,post,21,0.9568058252334595,14
205,m357,TH,deep,TH deep,processes,post,22,0.9500272870063782,8
205,m357,TH,deep,TH deep,processes,post,30,0.8149304986000061,3
205,m357,TH,deep,TH deep,processes,post,31,0.9703453183174133,8
205,m357,TH,deep,TH deep,processes,post,32,0.8867316246032715,4
205,m357,TH,deep,TH deep,processes,post,39,0.9060964584350586,6
205,m357,TH,deep,TH deep,processes,post,40,0.8788337111473083,6
205,m357,TH,deep,TH deep,processes,pre,1,0.6138036251068115,6
205,m357,TH,deep,TH deep,processes,pre,2,0.9191416501998901,8
205,m357,TH,deep,TH deep,processes,pre,3,0.8472296595573425,6
205,m357,TH,deep,TH deep,processes,pre,4,0.556329607963562,11
205,m357,TH,deep,TH deep,processes,pre,10,0.7129056453704834,9
205,m357,TH,deep,TH deep,processes,pre,12,0.8705404996871948,12
205,m357,TH,deep,TH deep,processes,pre,17,0.8836449384689331,6
205,m357,TH,deep,TH deep,processes,pre,18,0.8457328081130981,5
205,m357,TH,deep,TH deep,processes,pre,21,0.8893778920173645,10
205,m357,TH,deep,TH deep,processes,pre,22,0.7209854125976562,5
205,m357,TH,deep,TH deep,processes,pre,30,0.678903341293335,4
205,m357,TH,deep,TH deep,processes,pre,31,0.6796461939811707,5
205,m357,TH,deep,TH deep,processes,pre,32,0.8378819227218628,8
205,m357,TH,deep,TH deep,processes,pre,39,0.2620692849159241,2
205,m357,TH,deep,TH deep,processes,pre,40,0.7550382018089294,6
212,m462,TH,deep,TH deep,somas,post,1,0.25648266077041626,3
212,m462,TH,deep,TH deep,somas,post,2,0.6957088112831116,4
212,m462,TH,deep,TH deep,somas,post,3,0.8039483428001404,9
212,m462,TH,deep,TH deep,somas,post,4,0.4967183470726013,5
212,m462,TH,deep,TH deep,somas,post,10,0.14216451346874237,6
212,m462,TH,deep,TH deep,somas,post,12,0.516394853591919,3
212,m462,TH,deep,TH deep,somas,post,17,0.8691508769989014,11
212,m462,TH,deep,TH deep,somas,post,18,0.8786607384681702,11
212,m462,TH,deep,TH deep,somas,post,21,0.9567743539810181,8
212,m462,TH,deep,TH deep,somas,post,22,0.8597846031188965,8
212,m462,TH,deep,TH deep,somas,post,30,0.7917324304580688,12
212,m462,TH,deep,TH deep,somas,post,31,0.8188846707344055,6
212,m462,TH,deep,TH deep,somas,post,32,0.8679356575012207,8
212,m462,TH,deep,TH deep,somas,post,39,0.7677223682403564,5
212,m462,TH,deep,TH deep,somas,post,40,0.6673660278320312,7
212,m462,TH,deep,TH deep,somas,pre,1,0.21750487387180328,4
212,m462,TH,deep,TH deep,somas,pre,2,0.7706000804901123,4
212,m462,TH,deep,TH deep,somas,pre,3,0.6478080749511719,7
212,m462,TH,deep,TH deep,somas,pre,4,0.9116010069847107,9
212,m462,TH,deep,TH deep,somas,pre,10,0.1455218344926834,5
212,m462,TH,deep,TH deep,somas,pre,12,0.8642292022705078,8
212,m462,TH,deep,TH deep,somas,pre,17,0.6884679794311523,6
212,m462,TH,deep,TH deep,somas,pre,18,0.9066469669342041,8
212,m462,TH,deep,TH deep,somas,pre,21,0.7416189908981323,5
212,m462,TH,deep,TH deep,somas,pre,22,0.9255247116088867,5
212,m462,TH,deep,TH deep,somas,pre,30,0.9605842232704163,8
212,m462,TH,deep,TH deep,somas,pre,31,0.980231761932373,7
212,m462,TH,deep,TH deep,somas,pre,32,0.9617565274238586,6
212,m462,TH,deep,TH deep,somas,pre,39,0.8021732568740845,9
212,m462,TH,deep,TH deep,somas,pre,40,0.8327094316482544,7
212,m462,TH,deep,TH deep,processes,post,1,0.23696260154247284,3
212,m462,TH,deep,TH deep,processes,post,2,0.8434578776359558,4
212,m462,TH,deep,TH deep,processes,post,3,0.8796824812889099,9
212,m462,TH,deep,TH deep,processes,post,4,0.39356932044029236,5
212,m462,TH,deep,TH deep,processes,post,10,0.1835680454969406,6
212,m462,TH,deep,TH deep,processes,post,12,0.5928316712379456,3
212,m462,TH,deep,TH deep,processes,post,17,0.900195300579071,11
212,m462,TH,deep,TH deep,processes,post,18,0.9274575710296631,11
212,m462,TH,deep,TH deep,processes,post,21,0.9690918922424316,8
212,m462,TH,deep,TH deep,processes,post,22,0.8986700773239136,8
212,m462,TH,deep,TH deep,processes,post,30,0.8693788051605225,12
212,m462,TH,deep,TH deep,processes,post,31,0.9014768004417419,6
212,m462,TH,deep,TH deep,processes,post,32,0.8992252349853516,8
212,m462,TH,deep,TH deep,processes,post,39,0.8355740904808044,5
212,m462,TH,deep,TH deep,processes,post,40,0.8192647695541382,7
212,m462,TH,deep,TH deep,processes,pre,1,-0.1964108794927597,4
212,m462,TH,deep,TH deep,processes,pre,2,0.7498070597648621,4
212,m462,TH,deep,TH deep,processes,pre,3,0.441649466753006,7
212,m462,TH,deep,TH deep,processes,pre,4,0.92928147315979,9
212,m462,TH,deep,TH deep,processes,pre,10,-0.002208142541348934,5
212,m462,TH,deep,TH deep,processes,pre,12,0.842984139919281,8
212,m462,TH,deep,TH deep,processes,pre,17,0.5982656478881836,6
