group_id,mouse,date,population,depth_class,depth_um,cohort,um_per_px,mask_bundle,n_somas,median_area_um2,median_equivalent_diameter_um,diameter_q25_um,diameter_q75_um
175,m442,20260706,DAT-GCaMP,superficial,77.3,DAT superficial,0.5,/Volumes/MossLab/ImagingData/20260706/m442/e1/processed/python/group175_20260706_m442_e1_20x_masks_processed_20260825.h5,236,82.125,10.225690052514722,9.338999347593866,11.297887606083718
177,m442,20260708,DAT-GCaMP,superficial,70,DAT superficial,0.5,/Volumes/MossLab/ImagingData/20260708/m442/e1/processed/python/group177_20260708_m442_e1_20x_masks_processed_20260827.h5,276,87.875,10.577611658360674,9.14526466285631,11.722994787408513
196,m472,20260721,DAT-GCaMP,superficial,58,DAT superficial,1.0,/Volumes/MossLab/ImagingData/20260721/m472/e1/processed/python/group196_20260721_m472_e1_20x_masks_processed_20260825.h5,163,127.0,12.716187407449045,10.67492623455072,14.472298412974718
199,m465,20260727,TH-GCaMP,superficial,54,TH superficial,1.0,/Volumes/MossLab/ImagingData/20260727/m465/e1/processed/python/group199_20260727_m465_e1_20x_masks_processed_20260826.h5,167,100.0,11.283791670955125,10.217717978886725,14.862927112477545
200,m466,20260727,TH-GCaMP,superficial,55,TH superficial,1.0,/Volumes/MossLab/ImagingData/20260727/m466/e1/processed/python/group200_20260727_m466_e1_20x_masks_processed_20260826.h5,198,95.0,10.998079684646791,9.772050238058398,12.902542893966817
201,m472,20260728,DAT-GCaMP,superficial,53,DAT superficial,1.0,/Volumes/MossLab/ImagingData/20260728/m472/e1/processed/python/group201_20260728_m472_e1_20x_masks_processed_20260825.h5,301,123.0,12.514330345744634,10.645107772184812,14.884343478431232
202,m496,20260728,DAT-GCaMP,superficial,,DAT superficial,1.0,/Volumes/MossLab/ImagingData/20260728/m496/e1/processed/python/group202_20260728_m496_e1_20x_masks_processed_20260826.h5,214,120.0,12.360774464742066,10.764051215546116,14.306393149844986
203,m462,20260730,TH-GCaMP,deep,110,TH deep,1.0,/Volumes/MossLab/ImagingData/20260730/m462/e1/processed/python/group203_20260730_m462_e1_20x_masks_processed_20260826.h5,82,176.5,14.990754543975811,12.626770166522762,17.760767327568857
204,m465,20260730,TH-GCaMP,deep,120,TH deep,1.0,/Volumes/MossLab/ImagingData/20260730/m465/e1/processed/python/group204_20260730_m465_e1_20x_masks_processed_20260826.h5,72,189.0,15.512648837479231,14.905667664334427,18.036401279850203
205,m357,20260710,TH-GCaMP,deep,200,TH deep,1.0,/Volumes/MossLab/ImagingData/20260710/m357/e1/processed/python/group205_20260710_m357_e1_20x_masks_processed_20260826.h5,80,181.5,15.201728155878556,13.680631277653085,16.61065178042248
212,m462,20260721,TH-GCaMP,deep,160,TH deep,1.0,/Volumes/MossLab/ImagingData/20260721/m462/e1/processed/python/group212_20260721_m462_e1_20x_masks_processed_20260826.h5,87,168.0,14.625465582862905,11.283791670955125,16.93796886419939
225,m357,20260811,TH-GCaMP,superficial,55,TH superficial,1.0,/Volumes/MossLab/ImagingData/20260811/m357/e1/processed/python/group225_20260811_m357_e1_20x_masks_processed_20260826.h5,147,101.0,11.340070282773887,10.704744696916627,14.339724325585419
226,m465,20260811,TH-GCaMP,superficial,65,TH superficial,1.0,/Volumes/MossLab/ImagingData/20260811/m465/e1/processed/python/group226_20260811_m465_e1_20x_masks_processed_20260826.h5,164,101.5,11.368070626599952,10.823032759612019,14.361922094451577
227,m496,20260811,DAT-GCaMP,superficial,73,DAT superficial,1.0,/Volumes/MossLab/ImagingData/20260811/m496/e1/processed/python/group227_20260811_m496_e1_20x_masks_processed_20260826.h5,237,95.0,10.998079684646791,10.155412503859614,13.207339536360731
228,m466,20260723,TH-GCaMP,deep,148,TH deep,1.0,/Volumes/MossLab/ImagingData/20260723/m466/e1/processed/python/group228_20260723_m466_e1_20x_masks_processed_20260826.h5,107,189.0,15.512648837479231,14.069374136527156,17.823382043353085
233,m465,20260723,TH-GCaMP,deep,,TH deep,1.0,/Volumes/MossLab/ImagingData/20260723/m465/e1/processed/python/group233_20260723_m465_e1_20x_masks_processed_20260826.h5,101,188.0,15.471555655790098,14.450303987687134,17.55346033766304
235,m466,20260814,TH-GCaMP,superficial,66,TH superficial,1.0,/Volumes/MossLab/ImagingData/20260814/m466/e1/processed/python/group235_20260814_m466_e1_20x_masks_processed_20260826.h5,221,123.0,12.514330345744634,10.764051215546116,14.581872443920643
236,m496,20260814,DAT-GCaMP,superficial,75,DAT superficial,1.0,/Volumes/MossLab/ImagingData/20260814/m496/e1/processed/python/group236_20260814_m496_e1_20x_masks_processed_20260826.h5,162,87.5,10.554977531955473,9.270391486285087,13.098419176029694
237,m442,20260728,DAT-GCaMP,superficial,55,DAT superficial,1.0,/Volumes/MossLab/ImagingData/20260728/m442/e1/processed/python/group237_20260728_m442_e1_20x_masks_processed_20260826.h5,250,97.0,11.11324596323283,10.155412503859614,13.013103375051497
238,m466,20260730,TH-GCaMP,deep,135,TH deep,1.0,/Volumes/MossLab/ImagingData/20260730/m466/e1/processed/python/group238_20260730_m466_e1_20x_masks_processed_20260825.h5,151,151.0,13.86575534383214,11.340070282773887,15.512160242417801
244,m466,20260821,TH-GCaMP,superficial,67,TH superficial,1.0,/Volumes/MossLab/ImagingData/20260821/m466/e1/processed/python/group244_20260821_m466_e1_20x_masks_processed_20260826.h5,198,120.5,12.386259377420192,10.764051215546116,14.261824675748377
