group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,seconds_accumulated,cumulative_crossnobis
193,m472,DAT,pre,17-18,4,8,-0.07482278559777161,-0.02379995237571715,0.024882733821868896,1,0.3669023628641103
193,m472,DAT,pre,17-18,4,8,-0.07482278559777161,-0.02379995237571715,0.024882733821868896,2,-0.02899634897945945
193,m472,DAT,pre,17-18,4,8,-0.07482278559777161,-0.02379995237571715,0.024882733821868896,3,-0.07401109442810536
193,m472,DAT,pre,17-18,4,8,-0.07482278559777161,-0.02379995237571715,0.024882733821868896,4,-0.08637431100230192
193,m472,DAT,pre,31-32,4,8,0.12299707931107048,-0.003893226003426542,0.024405360221862793,1,0.028097075711646425
193,m472,DAT,pre,31-32,4,8,0.12299707931107048,-0.003893226003426542,0.024405360221862793,2,0.2335701406937219
193,m472,DAT,pre,31-32,4,8,0.12299707931107048,-0.003893226003426542,0.024405360221862793,3,0.16805270456412877
193,m472,DAT,pre,31-32,4,8,0.12299707931107048,-0.003893226003426542,0.024405360221862793,4,0.12441154037937628
193,m472,DAT,pre,39-40,7,5,0.5968130114538241,0.5012329416968874,0.17970985174179077,1,0.34670827144291405
193,m472,DAT,pre,39-40,7,5,0.5968130114538241,0.5012329416968874,0.17970985174179077,2,0.20820867555301273
193,m472,DAT,pre,39-40,7,5,0.5968130114538241,0.5012329416968874,0.17970985174179077,3,0.3496425902586981
193,m472,DAT,pre,39-40,7,5,0.5968130114538241,0.5012329416968874,0.17970985174179077,4,0.5273761660592138
193,m472,DAT,post,17-18,8,5,-0.09645197120689296,0.01902483817952631,0.02599877119064331,1,0.028016235864578274
193,m472,DAT,post,17-18,8,5,-0.09645197120689296,0.01902483817952631,0.02599877119064331,2,0.020340504239667986
193,m472,DAT,post,17-18,8,5,-0.09645197120689296,0.01902483817952631,0.02599877119064331,3,-0.04222646445566729
193,m472,DAT,post,17-18,8,5,-0.09645197120689296,0.01902483817952631,0.02599877119064331,4,-0.09964525651486898
193,m472,DAT,post,31-32,6,9,0.07342082050804333,0.05767000219669793,0.05405282974243164,1,-0.0820033291715853
193,m472,DAT,post,31-32,6,9,0.07342082050804333,0.05767000219669793,0.05405282974243164,2,-0.02405059102114547
193,m472,DAT,post,31-32,6,9,0.07342082050804333,0.05767000219669793,0.05405282974243164,3,-0.012754505422390927
193,m472,DAT,post,31-32,6,9,0.07342082050804333,0.05767000219669793,0.05405282974243164,4,0.05643920114267933
193,m472,DAT,post,39-40,6,7,0.08860391137135577,0.09317872989244406,0.06404614448547363,1,-0.08733168456467845
193,m472,DAT,post,39-40,6,7,0.08860391137135577,0.09317872989244406,0.06404614448547363,2,0.16335031240217743
193,m472,DAT,post,39-40,6,7,0.08860391137135577,0.09317872989244406,0.06404614448547363,3,0.0443653444782939
193,m472,DAT,post,39-40,6,7,0.08860391137135577,0.09317872989244406,0.06404614448547363,4,0.09158464329003767
