group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,min_trials,trial_imbalance,eligible_primary,integrated_crossnobis_robust_z,integrated_crossnobis_outlier_flag,spatiotemporal_crossnobis_robust_z,spatiotemporal_crossnobis_outlier_flag,integrated_cosine_robust_z,integrated_cosine_outlier_flag
193,m472,DAT,pre,17-18,4,8,-0.0748227855977716,-0.0237999523757171,0.0248827338218688,4,4,True,-0.8840984813852458,False,-0.6736877015187457,False,0.096662606863825,False
193,m472,DAT,pre,31-32,4,8,0.1229970793110704,-0.0038932260034265,0.0244053602218627,4,4,True,-0.47602082112919863,False,-1.078832963607843,False,0.6745,False
193,m472,DAT,pre,39-40,7,5,0.5968130114538241,0.5012329416968874,0.1797098517417907,5,2,True,-0.6745,False,-0.6745,False,0.5707132150006397,False
193,m472,DAT,post,17-18,8,5,-0.0964519712068929,0.0190248381795263,0.0259987711906433,5,3,True,-0.9097118739534186,False,-0.902525317606725,False,0.0,False
193,m472,DAT,post,31-32,6,9,0.0734208205080433,0.0576700021966979,0.0540528297424316,6,3,True,-0.5515892512688174,False,-1.0560998912355593,False,1.1333221847399821,False
193,m472,DAT,post,39-40,6,7,0.0886039113713557,0.093178729892444,0.0640461444854736,6,1,True,-0.6745,False,-0.6745,False,3.8831139011587186,True
186,m472,DAT,pre,17-18,14,5,0.921702136368992,0.5083085006045219,0.0324161052703857,5,9,True,2.75823131543472,False,2.277363686618563,False,0.9684401306908853,False
186,m472,DAT,pre,31-32,11,4,-0.0639336965780339,0.1274459182183595,0.0147827863693237,4,7,True,-1.0663329471147027,False,-0.42254708663467294,False,-3.155384637028691,False
186,m472,DAT,pre,39-40,6,7,0.2744382084551963,0.3905524775127086,0.0594721436500549,6,1,True,-0.865815965616229,False,-0.8085893973175555,False,-1.5605248971689725,False
186,m472,DAT,post,17-18,6,6,0.5728108808383314,0.4042039992302245,0.0781034231185913,6,0,True,0.6745,False,0.0,False,2.6863807565789344,False
186,m472,DAT,post,31-32,3,5,0.0514076870572069,0.2088482044483636,0.0660761594772338,3,2,True,-0.6785743792809958,False,0.020230638881865187,False,1.6742544165326556,False
186,m472,DAT,post,39-40,5,8,0.0516514748574857,0.0519380578322471,0.038880705833435,5,3,True,-0.7424596311317528,False,-0.7615105135156466,False,-0.6744999999999999,False
206,m462,TH,pre,17-18,4,7,0.1775787073492863,0.1619876754205767,0.0237960219383239,4,3,True,0.7667596448323939,False,0.25210247735390245,False,0.0,False
206,m462,TH,pre,31-32,5,7,0.0825358413522502,0.3036181062682007,0.0048521161079406,5,2,True,0.0,False,0.5362178751309494,False,0.3097532831737598,False
206,m462,TH,pre,39-40,9,10,1.0949402652094975,1.1069810705355934,0.0756285190582275,9,1,True,2.399478700999003,False,1.8316490046492433,False,0.0,False
206,m462,TH,post,17-18,6,6,-0.18274218750439,-0.1460682529390651,0.0084875226020812,6,0,True,-0.6745,False,-0.7966860557921386,False,-0.870389162037413,False
206,m462,TH,post,31-32,7,8,-0.1196021784132562,-0.0856283663537978,0.0053080320358276,7,1,True,-0.6745,False,-1.345088415210567,False,-1.030383979185024,False
206,m462,TH,post,39-40,6,3,0.4854762108972373,0.5320081464382705,0.0238956809043884,3,3,True,-0.05308280736014019,False,0.13806087354448315,False,-0.7183705501671348,False
187,m472,DAT,pre,17-18,5,8,-0.1049787965192526,-0.0538992518907072,0.0155990123748779,5,3,True,-0.9943196456645693,False,-0.8406171669654652,False,-0.9776690851638181,False
187,m472,DAT,pre,31-32,7,7,0.2803840419517521,0.2120081108530116,0.0069585442543029,7,0,True,0.0209943550873638,False,0.0,False,-6.269514508300529,True
187,m472,DAT,pre,39-40,9,9,1.3547423961427665,0.9453975024164584,0.1094588637351989,9,0,True,-0.22470060267769623,False,-0.13639457465956706,False,-0.6745,False
187,m472,DAT,post,17-18,8,5,0.6363733409973252,0.5229547815088745,0.0765594244003295,5,3,True,0.824958678251523,False,0.2782486653736156,False,2.606776185941812,False
187,m472,DAT,post,31-32,10,10,0.2852596151533094,0.2471465515753055,0.0111454129219055,10,0,True,0.6704256207190041,False,0.29290010876444084,False,-0.797091873023319,False
187,m472,DAT,post,39-40,6,10,0.2586925369899748,0.2316000613991602,0.0415588617324829,6,4,True,-0.3616881438072573,False,-0.38245550765179664,False,-0.18946968824017887,False
189,m465,TH,pre,17-18,6,4,-0.228157461818625,-0.0845665420936647,0.0861621499061584,4,2,True,-0.4376369607528355,False,-0.717412062408392,False,3.047304316099454,False
189,m465,TH,pre,31-32,4,7,0.9638827796669748,0.8143966063773143,0.004140555858612,4,3,True,2.7918717926128167,False,2.184963377970428,False,-0.7917762653898447,False
189,m465,TH,pre,39-40,8,7,0.3619668360214326,0.3330762013750843,0.3952949643135071,7,1,True,0.0,False,0.03561726972433871,False,10.840854576485562,True
189,m465,TH,post,17-18,5,8,0.6569532886496194,0.4736077336104839,0.0288045406341552,5,3,True,0.4053639749754077,False,0.0,False,0.8167790065384324,False
189,m465,TH,post,31-32,5,3,0.0241805367821538,0.0907013084316926,0.0209614038467407,3,2,True,-0.10494999078073114,False,-0.34517127293829497,False,0.7220441724953306,False
189,m465,TH,post,39-40,10,7,-0.0222654910866324,0.0109454005093308,0.0589311718940734,7,3,True,-0.8040863503140245,False,-0.697108781514617,False,0.151240849739864,False
190,m472,DAT,pre,17-18,11,7,0.3384737263699188,0.2976343155911767,0.0240474343299865,7,4,True,0.6265132125909192,False,1.1089734033102523,False,0.0,False
190,m472,DAT,pre,31-32,7,8,0.056616122415375,0.0770238671173868,0.0115849375724792,7,1,True,-0.6856464625125985,False,-0.6745,False,-4.428161771947105,True
190,m472,DAT,pre,39-40,11,4,1.7333716040532146,1.0579807128530978,0.1475120186805725,4,7,True,0.0,False,0.0,False,0.0,False
190,m472,DAT,post,17-18,8,9,0.1148022738919915,0.1163413331527449,0.0129162669181823,8,1,True,-0.40965202080904656,False,-0.6745,False,-0.6745,False
190,m472,DAT,post,31-32,8,6,-0.001921215112016,0.019566739924323,0.0281353592872619,6,2,True,-0.9862078874243084,False,-1.327380432146851,False,-0.032710473846691554,False
190,m472,DAT,post,39-40,5,5,0.4553572031937397,0.412873812482672,0.0419772863388061,5,0,True,0.0,False,0.0,False,-0.11369044875487916,False
195,m466,TH,pre,17-18,3,6,-0.0807266710652235,0.1334700219085426,0.081869900226593,3,3,True,0.0,False,0.13996373562573342,False,2.837578437637638,False
195,m466,TH,pre,31-32,8,8,-0.1303924569550797,-0.0437356682748981,0.0046712756156921,8,0,True,-0.6744999999999999,False,-0.5850078098771536,False,0.029803488372168573,False
195,m466,TH,pre,39-40,8,7,0.2925229522768473,0.2133924350025747,0.1080734729766845,7,1,True,-0.22733309738712212,False,-0.2421375954098452,False,1.1003063736948744,False
195,m466,TH,post,17-18,5,8,-0.1909905295066725,-0.1448456145393821,0.0189688205718994,5,3,True,-0.6851075209816988,False,-0.7951141714760669,False,0.0,False
195,m466,TH,post,31-32,6,7,0.0506751279329325,0.0326260691090151,0.0070199966430664,6,1,True,0.0,False,-0.6745,False,-0.8387259128817569,False
195,m466,TH,post,39-40,11,5,0.1529571018815103,0.0391566596391423,0.0818151831626892,5,6,True,-0.5449136496859754,False,-0.6518912184853831,False,0.7192419398529566,False
231,m462,TH,pre,17-18,4,5,0.251259422759399,0.3919073314749024,0.0916048884391784,4,1,True,0.9854751803958656,False,1.1562056469090487,False,3.31324483803833,False
231,m462,TH,pre,31-32,6,4,-0.2571803664004192,-0.1642794061245772,0.006523847579956,4,2,True,-1.0761302464290046,False,-0.9741117867138117,False,2.897674145006926,False
231,m462,TH,pre,39-40,9,6,0.0194352897937181,0.0270887279757847,0.0145496726036071,6,3,True,-1.1213191595554761,False,-0.6745,False,-2.0713681462101925,False
231,m462,TH,post,17-18,6,6,1.0069827804389204,0.7340921900315603,0.0371201634407043,6,0,True,0.8555084012541673,False,0.3348916832114052,False,1.5073259204085863,False
231,m462,TH,post,31-32,5,6,0.2356544436307051,0.1515702901997143,0.0145118236541748,5,1,True,0.732737386533953,False,0.0,False,0.0,False
231,m462,TH,post,39-40,9,8,0.5572531158346204,0.3597356567981966,0.0080687999725341,8,1,True,0.053082807360140115,False,-0.13806087354448307,False,-1.1112075190385948,False
232,m465,TH,pre,17-18,13,6,-0.0678232477963028,-0.0736537093973986,0.009991705417633,6,7,True,0.038302819335502884,False,-0.6745,False,-0.6745,False
232,m465,TH,pre,31-32,8,3,0.0148456123431948,-0.0714601937178509,0.0046520233154296,3,5,True,-0.21442457310539711,False,-0.6745,False,0.0,False
232,m465,TH,pre,39-40,8,5,0.1559260081609834,0.0023935135489899,0.0955176353454589,5,3,True,-0.6745,False,-0.7318111639152898,False,0.6745,False
232,m465,TH,post,17-18,5,3,0.3417447958480991,0.5450643308238238,0.0127277374267578,3,2,True,0.0,False,0.09186813081334608,False,-0.5182727506219195,False
232,m465,TH,post,31-32,3,5,1.0926551262717292,0.9660466887081554,0.020536720752716,3,2,True,4.1274760798167245,True,4.618671893063504,True,0.6745,False
213,m392,Thy1,pre,17-18,8,4,-0.2659659725295575,-0.0144463544387395,0.0141337513923645,4,4,True,-0.9650084765277812,False,-1.4475484121099567,False,-1.4534514177667968,False
213,m392,Thy1,pre,31-32,6,4,0.1450620776755606,0.2101754274980697,0.0106048583984375,4,2,True,-0.9098412251025486,False,-2.0415966096199143,False,-0.6745,False
213,m392,Thy1,pre,39-40,7,7,1.2142821477191663,0.966847935006006,0.0966193675994873,7,0,True,-0.8683048114533742,False,-1.2555780819301237,False,-0.7741361995152342,False
