group_id,cohort,state,cov_masked,cov_unmasked,blink,clipped,median_px
186,DAT 10x,pre,0.23746693121693122,0.9638227513227513,0.39206349206349206,0.3416335978835979,223.76137200465945
186,DAT 10x,post,0.9769451530612245,0.9848533163265306,0.006696428571428571,0.004432397959183674,154.48366878283034
175,DAT 20x superficial,pre,0.16848776223776224,0.9482517482517483,0.06346153846153846,0.7163024475524475,153.65608145125333
175,DAT 20x superficial,post,0.9841158841158841,0.9842657342657343,0.0,0.00014985014985014985,129.49574164970906
177,DAT 20x superficial,pre,0.0019745502413339184,0.789600702062308,0.6617302910633319,0.12589586075764225,182.94849395751953
177,DAT 20x superficial,post,0.6602990033222591,0.8001107419712071,0.006402270210409745,0.1334094684385382,125.66682539531769
205,TH 20x deep,pre,0.22796200270164277,0.9976687437361105,0.15272996644733974,0.616976774587128,178.47880291779296
205,TH 20x deep,post,0.9976286704058067,0.9976286704058067,0.0,0.0,135.56812952279412
206,TH 10x,pre,0.012166750503018109,0.9980508048289738,0.7339348591549296,0.25194919517102615,242.00264739990234
206,TH 10x,post,0.2382891096579477,0.9982865945674044,0.24792505030181086,0.5120724346076458,122.8773604861113
187,DAT 10x,pre,0.5892857142857143,0.9989341810022438,0.11009723261032162,0.29955123410620793,105.95155650662201
187,DAT 10x,post,0.9989435302916978,0.9989435302916978,0.0,0.0,99.85513019973487
189,TH 10x,pre,0.2984740370061471,0.9985636178296728,0.290859667006456,0.4092299138170698,119.55908481979547
189,TH 10x,post,0.8185726310726311,0.998181216931217,0.13486050986050985,0.044748075998075995,89.42966702492146
190,DAT 10x,pre,0.09143625192012289,0.9651881720430108,0.1429915514592934,0.7307603686635945,109.62274169921875
190,DAT 10x,post,0.9627112135176651,0.9649385560675883,0.0,0.0022273425499231953,101.32623455282126
195,TH 10x,pre,0.861435124508519,0.988024246395806,0.07265727391874181,0.06407273918741808,115.7941791147521
195,TH 10x,post,0.9715678981734027,0.9892553103562278,0.005124390445491363,0.021505909579304074,95.61771048582101
212,TH 20x deep,pre,0.15197210523932436,0.9108590318344428,0.001607571435040529,0.7572793551600779,194.49798754020958
212,TH 20x deep,post,0.6267321016166282,0.6267321016166282,0.0,0.0,89.28565632897983
196,DAT 20x superficial,pre,0.0030769778030734205,0.011898833238474673,0.002258821855435401,0.006563033579965851,185.95123291015625
196,DAT 20x superficial,post,0.0,0.0,0.0,0.0,
233,TH 20x deep,pre,0.9887419082465522,0.9966225724739657,0.006754855052068675,0.001125809175344779,90.39071741483396
233,TH 20x deep,post,0.996671826625387,0.996671826625387,0.0,0.0,74.17758212258236
