group_id,cohort,population,state,date,mouse,mo_z,odor_z,mo_frac_responders,mo_over_odor,n_blank_trials,d
204,TH 20x deep,processes,post,20260730,m465,0.0059098355,-0.0151308235,0.16352201257861634,,3,2026-07-30
204,TH 20x deep,processes,pre,20260730,m465,-0.141961075,-0.049609602,0.0880503144654088,,3,2026-07-30
204,TH 20x deep,somas,post,20260730,m465,0.16301871,0.110136895,0.4305555555555556,1.480146230743113,3,2026-07-30
204,TH 20x deep,somas,pre,20260730,m465,-0.33421235,-0.08635794,0.041666666666666664,,3,2026-07-30
205,TH 20x deep,processes,post,20260710,m357,0.049022963,0.22363517,0.3191489361702128,0.21920954114685987,8,2026-07-10
205,TH 20x deep,processes,pre,20260710,m357,-0.0695988875,-0.263069345,0.20212765957446807,,3,2026-07-10
205,TH 20x deep,somas,post,20260710,m357,0.074732273,0.23201634999999998,0.3625,0.3220991667182076,8,2026-07-10
205,TH 20x deep,somas,pre,20260710,m357,-0.0363293035,-0.38050274500000003,0.25,,3,2026-07-10
206,TH 10x,units,post,20260713,m462,0.26749456000000005,1.1612013,0.7903225806451613,0.23036019680653133,10,2026-07-13
206,TH 10x,units,pre,20260713,m462,0.24547144999999998,0.8858263,0.7258064516129032,0.27711013999019896,6,2026-07-13
212,TH 20x deep,processes,post,20260721,m462,0.05942857,0.19627988,0.40397350993377484,0.30277463996819237,6,2026-07-21
212,TH 20x deep,processes,pre,20260721,m462,0.14173232,0.038877934,0.4900662251655629,3.6455723187348377,4,2026-07-21
212,TH 20x deep,somas,post,20260721,m462,0.09641313,0.21948528,0.42528735632183906,0.4392692302645535,6,2026-07-21
212,TH 20x deep,somas,pre,20260721,m462,0.32975325,0.05435684,0.5632183908045977,6.066453642264709,4,2026-07-21
213,Thy1 10x,units,post,20260803,m392,0.5447537250000001,0.90757873,0.8166666666666667,0.6002275141463486,5,2026-08-03
213,Thy1 10x,units,pre,20260803,m392,0.3797125,0.80008905,0.7666666666666667,0.4745877974457968,4,2026-08-03
214,Thy1 10x,units,post,20260803,m426,0.115084745,0.7274006,0.41379310344827586,0.15821370645006344,7,2026-08-03
214,Thy1 10x,units,pre,20260803,m426,0.16684236,0.66571593,0.6059113300492611,0.25062095179245597,7,2026-08-03
215,DAT 10x,units,post,20260803,m496,0.09449387,0.9901928,0.4975609756097561,0.09542976882885837,7,2026-08-03
215,DAT 10x,units,pre,20260803,m496,0.43821636,0.24302107,0.6926829268292682,1.8032031543602371,4,2026-08-03
216,Thy1 10x,units,post,20260805,m392,0.21427414,0.65550195,0.626984126984127,0.32688558744943474,7,2026-08-05
216,Thy1 10x,units,pre,20260805,m392,0.277920165,0.69870587,0.6587301587301587,0.3977641765053441,2,2026-08-05
217,Thy1 10x,units,post,20260805,m426,0.013693668,0.6637961,0.3217391304347826,0.020629328795393646,5,2026-08-05
217,Thy1 10x,units,pre,20260805,m426,0.053829893,0.5315776,0.43478260869565216,0.10126441181870718,3,2026-08-05
218,DAT 10x,units,post,20260805,m496,0.6455981,1.286974,0.8358974358974359,0.5016403594789016,8,2026-08-05
218,DAT 10x,units,pre,20260805,m496,0.077230014,-0.05401259,0.5128205128205128,,5,2026-08-05
219,TH 10x,units,post,20260806,m357,0.021319332,0.65319824,0.11494252873563218,0.03263837942980373,4,2026-08-06
219,TH 10x,units,pre,20260806,m357,0.50944287,0.5854243,0.9885057471264368,0.8702113492726558,2,2026-08-06
220,Thy1 10x,units,post,20260807,m392,0.074414695,0.64353275,0.136986301369863,0.11563466661176142,5,2026-08-07
220,Thy1 10x,units,pre,20260807,m392,0.034070874,0.667340515,0.3356164383561644,0.05105470630686944,4,2026-08-07
221,Thy1 10x,units,post,20260807,m426,-0.25082415,0.92250264,0.040268456375838924,-0.27189531945404516,2,2026-08-07
221,Thy1 10x,units,pre,20260807,m426,-0.02125039,0.5954627,0.2751677852348993,-0.035687189138799126,4,2026-08-07
222,DAT 10x,units,post,20260807,m496,0.23733371,0.4980371,0.3902439024390244,0.4765382137194197,4,2026-08-07
222,DAT 10x,units,pre,20260807,m496,0.03542113,0.20984785,0.7560975609756098,0.16879434313956518,7,2026-08-07
223,Thy1 10x,units,post,20260810,m392,-0.070583348,0.619349115,0.038461538461538464,-0.11396375047698261,5,2026-08-10
223,Thy1 10x,units,pre,20260810,m392,0.151681695,0.500090965,0.45384615384615384,0.3033082091375116,5,2026-08-10
224,Thy1 10x,units,post,20260810,m426,0.17578338,0.6225357,0.5147058823529411,0.2823667461962422,5,2026-08-10
224,Thy1 10x,units,pre,20260810,m426,0.034394453,0.44211385000000003,0.4338235294117647,0.07779546603210914,5,2026-08-10
225,TH 20x superficial,processes,post,20260811,m357,0.026118195,0.06598705,0.20595533498759305,0.3958078895783339,2,2026-08-11
225,TH 20x superficial,processes,pre,20260811,m357,0.03252149,0.04128401,0.16129032258064516,0.7877502694142356,2,2026-08-11
225,TH 20x superficial,somas,post,20260811,m357,-0.01798357,0.12013465,0.17006802721088435,-0.14969511294201965,2,2026-08-11
225,TH 20x superficial,somas,pre,20260811,m357,-0.025333548,0.10042843,0.21768707482993196,-0.2522547449960136,2,2026-08-11
226,TH 20x superficial,processes,post,20260811,m465,0.1122486,0.195008755,0.4844559585492228,0.575608002830437,5,2026-08-11
226,TH 20x superficial,processes,pre,20260811,m465,-0.089561513,-0.023889903,0.20725388601036268,,5,2026-08-11
226,TH 20x superficial,somas,post,20260811,m465,0.20055795,0.30447931,0.524390243902439,0.6586915544442085,5,2026-08-11
226,TH 20x superficial,somas,pre,20260811,m465,-0.162167375,-0.0393102015,0.36585365853658536,,5,2026-08-11
227,DAT 20x superficial,processes,post,20260811,m496,0.019906274,0.10038179,0.1736111111111111,0.19830562893927278,3,2026-08-11
227,DAT 20x superficial,processes,pre,20260811,m496,0.055687299999999995,-0.0509224755,0.28125,,3,2026-08-11
227,DAT 20x superficial,somas,post,20260811,m496,0.009405318,0.083125174,0.18565400843881857,0.11314644586488323,3,2026-08-11
227,DAT 20x superficial,somas,pre,20260811,m496,0.05752183,-0.14155178,0.3333333333333333,,3,2026-08-11
228,TH 20x deep,processes,post,20260723,m466,0.06964566,0.11457986,0.23203285420944558,0.6078350942303472,3,2026-07-23
228,TH 20x deep,processes,pre,20260723,m466,-0.08608443,-0.19328238,0.09240246406570841,,5,2026-07-23
228,TH 20x deep,somas,post,20260723,m466,0.28798345,0.3753983,0.4485981308411215,0.7671410605748613,3,2026-07-23
228,TH 20x deep,somas,pre,20260723,m466,-0.09092763,-0.41795892,0.19626168224299065,,5,2026-07-23
229,TH 10x,units,post,20260810,m357,-0.015971970749999998,0.533530975,0.1891891891891892,-0.02993635139927911,6,2026-08-10
229,TH 10x,units,pre,20260810,m357,0.8337516,1.50954745,0.8243243243243243,0.5523189085576609,5,2026-08-10
230,DAT 10x,units,pre,20260717,m472,0.41217561,0.96279755,0.5,0.42810205530747353,1,2026-07-17
231,TH 10x,units,post,20260717,m462,-0.06686826500000001,0.5786176000000001,0.04,-0.1155655565955823,8,2026-07-17
231,TH 10x,units,pre,20260717,m462,2.1945762,1.36482925,1.0,1.6079492727753306,6,2026-07-17
232,TH 10x,units,post,20260717,m465,0.79442984,1.4478594,0.9315068493150684,0.5486926700203073,5,2026-07-17
232,TH 10x,units,pre,20260717,m465,1.2479345,2.2689204,1.0,0.5500124640776292,9,2026-07-17
233,TH 20x deep,processes,post,20260723,m465,0.25149564,0.33506165,0.5649038461538461,0.7505951218231034,5,2026-07-23
233,TH 20x deep,processes,pre,20260723,m465,0.001735416395,-0.084675485,0.10576923076923077,,3,2026-07-23
233,TH 20x deep,somas,post,20260723,m465,0.27519122,0.45470047,0.6732673267326733,0.6052142853514094,5,2026-07-23
233,TH 20x deep,somas,pre,20260723,m465,0.19257723,-0.10635307,0.45544554455445546,,3,2026-07-23
235,TH 20x superficial,processes,post,20260814,m466,-0.0244894285,0.06064105,0.13692307692307693,-0.40384242192376285,2,2026-08-14
235,TH 20x superficial,processes,pre,20260814,m466,-0.107058823,0.08787864249999999,0.12923076923076923,-1.2182575874450952,3,2026-08-14
235,TH 20x superficial,somas,post,20260814,m466,-0.031116864,0.0916996,0.167420814479638,-0.3393347844483509,2,2026-08-14
235,TH 20x superficial,somas,pre,20260814,m466,-0.17674595,0.3869285,0.17194570135746606,-0.45679227557546165,3,2026-08-14
236,DAT 20x superficial,processes,post,20260814,m496,-0.03324999,0.007180856,0.18662952646239556,,5,2026-08-14
236,DAT 20x superficial,processes,pre,20260814,m496,-0.07414955,-0.025773529,0.15598885793871867,,4,2026-08-14
236,DAT 20x superficial,somas,post,20260814,m496,-0.0067209767,0.0223194205,0.13580246913580246,-0.30112684601287026,5,2026-08-14
