unit_id,unit_type,group_id,trial_id,trial_index,odor_id,block,epoch,available,response_mean_z,response_peak_positive_z,response_peak_negative_z
s1,soma,,0,0,39,pre,odor,True,1.402004361152649,3.7444469928741455,-1.180429220199585
s1,soma,,1,1,17,pre,odor,True,-3.0550127029418945,0.49564358592033386,-6.625564098358154
s1,soma,,2,2,32,pre,odor,True,5.626104831695557,9.585264205932617,-0.030557656660676003
s1,soma,,3,3,32,pre,odor,True,8.093513488769531,12.06953239440918,-2.468261957168579
s1,soma,,4,4,30,pre,odor,True,4.549605846405029,9.94125747680664,-2.5485892295837402
s1,soma,,5,5,40,pre,odor,True,2.4090278148651123,6.561106204986572,-1.1826021671295166
s1,soma,,6,6,3,pre,odor,True,3.8595845699310303,7.228250026702881,0.027706628665328026
s1,soma,,7,7,2,pre,odor,True,2.406515598297119,4.69866943359375,-0.5579201579093933
s1,soma,,8,8,1,pre,odor,True,1.890977382659912,3.847827434539795,-1.6404465436935425
s1,soma,,9,9,4,pre,odor,True,1.3295921087265015,4.477128982543945,-2.3895211219787598
s1,soma,,10,10,31,pre,odor,True,1.5283398628234863,5.761412620544434,-2.4455268383026123
s1,soma,,11,11,21,pre,odor,True,6.318953514099121,11.104764938354492,-1.5580521821975708
s1,soma,,12,12,2,pre,odor,True,0.5286045670509338,4.1514387130737305,-2.573610305786133
s1,soma,,13,13,39,pre,odor,True,-0.810212254524231,2.05523943901062,-3.378669500350952
s1,soma,,14,14,1,pre,odor,True,2.161318778991699,6.072076797485352,-2.940293788909912
s1,soma,,15,15,12,pre,odor,True,-1.8790152072906494,3.966717004776001,-5.162793159484863
s1,soma,,16,16,22,pre,odor,True,0.46149665117263794,4.016037940979004,-1.8370076417922974
s1,soma,,17,17,10,pre,odor,True,1.9195408821105957,9.221109390258789,-3.5591416358947754
s1,soma,,18,18,17,pre,odor,True,-1.1382131576538086,2.7574703693389893,-4.99027681350708
s1,soma,,19,19,31,pre,odor,True,-0.9604339003562927,1.1077996492385864,-4.02304744720459
s1,soma,,20,20,30,pre,odor,True,0.07144195586442947,2.0665407180786133,-2.21903133392334
s1,soma,,21,21,12,pre,odor,True,1.1110464334487915,4.3875732421875,-0.9132607579231262
s1,soma,,22,22,22,pre,odor,True,-0.04260377958416939,1.618533730506897,-2.0169050693511963
s1,soma,,23,23,4,pre,odor,True,1.7058663368225098,3.8336079120635986,-1.449370265007019
s1,soma,,24,24,0,pre,odor,True,2.715761661529541,7.962967395782471,-2.3227791786193848
s1,soma,,25,25,3,pre,odor,True,2.0166192054748535,4.403306007385254,-1.6599208116531372
s1,soma,,26,26,40,pre,odor,True,-0.46855077147483826,5.819887638092041,-5.373197555541992
s1,soma,,27,27,10,pre,odor,True,2.816692590713501,4.433215618133545,-1.834526777267456
s1,soma,,28,28,21,pre,odor,True,3.7520458698272705,6.308565139770508,-0.5891965627670288
s1,soma,,29,29,18,pre,odor,True,-1.761916995048523,1.9148154258728027,-4.3435773849487305
s1,soma,,30,30,18,pre,odor,True,-2.3292088508605957,-0.7516905665397644,-4.149248123168945
s1,soma,,31,31,0,pre,odor,True,2.766573905944824,5.944922924041748,-1.0498825311660767
s1,soma,,32,32,12,post,odor,True,2.67336106300354,6.310478687286377,-1.7225308418273926
s1,soma,,33,33,18,post,odor,True,1.5918222665786743,4.756247520446777,-1.2351627349853516
s1,soma,,34,34,40,post,odor,True,0.7427492141723633,3.7072067260742188,-1.4393178224563599
s1,soma,,35,35,32,post,odor,True,0.6305493116378784,2.330596446990967,-1.8254451751708984
s1,soma,,36,36,31,post,odor,True,0.6591121554374695,2.4809350967407227,-1.7704389095306396
s1,soma,,37,37,0,post,odor,True,1.1079615354537964,2.8915395736694336,-1.0421669483184814
s1,soma,,38,38,4,post,odor,True,2.675086498260498,5.640823841094971,-2.2641561031341553
s1,soma,,39,39,2,post,odor,True,2.1731221675872803,5.529115200042725,-1.9975947141647339
s1,soma,,40,40,3,post,odor,True,2.5275166034698486,4.957550048828125,-0.5497220754623413
s1,soma,,41,41,21,post,odor,True,3.0076215267181396,8.095891952514648,-3.2035367488861084
s1,soma,,42,42,31,post,odor,True,1.4338767528533936,3.533043384552002,-1.039139747619629
s1,soma,,43,43,2,post,odor,True,1.813554286956787,5.045711517333984,-2.457228899002075
s1,soma,,44,44,32,post,odor,True,1.5834367275238037,4.057864665985107,-1.6835455894470215
s1,soma,,45,45,40,post,odor,True,0.7474985122680664,5.106139659881592,-1.7218033075332642
s1,soma,,46,46,1,post,odor,True,0.4992625415325165,3.752882719039917,-2.074991464614868
s1,soma,,47,47,0,post,odor,True,0.4680982232093811,2.903111219406128,-1.6274751424789429
s1,soma,,48,48,22,post,odor,True,1.4484481811523438,3.4008612632751465,-1.12626051902771
s1,soma,,49,49,10,post,odor,True,0.32883504033088684,2.7368710041046143,-1.3695446252822876
s1,soma,,50,50,1,post,odor,True,0.14014239609241486,2.8663690090179443,-1.7059789896011353
s1,soma,,51,51,30,post,odor,True,1.8198952674865723,4.142965316772461,-2.857184886932373
s1,soma,,52,52,12,post,odor,True,2.220088005065918,6.732122421264648,-1.7343436479568481
s1,soma,,53,53,3,post,odor,True,1.7213624715805054,4.247869968414307,-1.2125170230865479
s1,soma,,54,54,21,post,odor,True,5.041499137878418,12.955605506896973,-3.2360448837280273
s1,soma,,55,55,22,post,odor,True,1.2745460271835327,3.8861374855041504,-2.721250295639038
s1,soma,,56,56,18,post,odor,True,1.3235116004943848,4.201448440551758,-3.2166590690612793
s1,soma,,57,57,30,post,odor,True,2.53704833984375,5.983770847320557,-0.779635488986969
s1,soma,,58,58,17,post,odor,True,0.36400651931762695,3.538870096206665,-2.2413742542266846
s1,soma,,59,59,39,post,odor,True,0.08378671109676361,2.018754482269287,-2.484253406524658
s1,soma,,60,60,39,post,odor,True,0.9662818312644958,4.149866104125977,-1.5635974407196045
s1,soma,,61,61,17,post,odor,True,0.4404014050960541,2.3036811351776123,-1.8924649953842163
s1,soma,,62,62,4,post,odor,True,1.1795146465301514,4.538193225860596,-2.841460943222046
s23,soma,,0,0,39,pre,odor,True,1.1618412733078003,3.2751309871673584,-2.258303642272949
s23,soma,,1,1,17,pre,odor,True,0.8653554320335388,6.01729154586792,-2.1664059162139893
s23,soma,,2,2,32,pre,odor,True,2.952305316925049,6.149139881134033,-0.02663344517350197
s23,soma,,3,3,32,pre,odor,True,1.1969658136367798,3.89552903175354,-1.1227197647094727
s23,soma,,4,4,30,pre,odor,True,1.0847923755645752,3.3985161781311035,-1.852362871170044
s23,soma,,5,5,40,pre,odor,True,0.5047453045845032,2.5036003589630127,-2.0514323711395264
s23,soma,,6,6,3,pre,odor,True,4.674875259399414,8.543746948242188,-1.2883459329605103
s23,soma,,7,7,2,pre,odor,True,1.2565640211105347,3.0125021934509277,-1.6099530458450317
s23,soma,,8,8,1,pre,odor,True,0.6727532744407654,2.680419921875,-1.2151665687561035
s23,soma,,9,9,4,pre,odor,True,2.8839244842529297,5.475163459777832,-1.2757889032363892
s23,soma,,10,10,31,pre,odor,True,2.405425786972046,6.307384967803955,-1.7380576133728027
s23,soma,,11,11,21,pre,odor,True,0.7502711415290833,3.602288246154785,-2.6537182331085205
s23,soma,,12,12,2,pre,odor,True,0.1151910126209259,1.5567822456359863,-1.2016639709472656
s23,soma,,13,13,39,pre,odor,True,-0.8443039655685425,1.61899733543396,-3.3294365406036377
s23,soma,,14,14,1,pre,odor,True,0.8392576575279236,2.441314935684204,-0.6607459783554077
s23,soma,,15,15,12,pre,odor,True,1.9497994184494019,8.279374122619629,-2.0070457458496094
s23,soma,,16,16,22,pre,odor,True,2.3916521072387695,6.050406455993652,-1.7931632995605469
s23,soma,,17,17,10,pre,odor,True,4.982306957244873,10.048160552978516,-2.696833372116089
s23,soma,,18,18,17,pre,odor,True,-0.790918231010437,6.075450897216797,-5.73561954498291
s23,soma,,19,19,31,pre,odor,True,1.8164280652999878,5.688634872436523,-1.1765509843826294
s23,soma,,20,20,30,pre,odor,True,0.5316225290298462,2.617863416671753,-1.776283860206604
s23,soma,,21,21,12,pre,odor,True,1.2394815683364868,4.303364276885986,-1.1044237613677979
s23,soma,,22,22,22,pre,odor,True,2.2041776180267334,4.176065444946289,-0.9483509659767151
s23,soma,,23,23,4,pre,odor,True,0.8929518461227417,2.543018102645874,-0.20162001252174377
s23,soma,,24,24,0,pre,odor,True,-0.061717528849840164,1.331487774848938,-1.845912218093872
s23,soma,,25,25,3,pre,odor,True,1.4839675426483154,4.052238941192627,-1.3208366632461548
s23,soma,,26,26,40,pre,odor,True,-0.6106892228126526,1.9450384378433228,-3.058546543121338
s23,soma,,27,27,10,pre,odor,True,1.9736156463623047,3.8158106803894043,-2.382234573364258
s23,soma,,28,28,21,pre,odor,True,0.9341692328453064,2.841111660003662,-1.47071373462677
s23,soma,,29,29,18,pre,odor,True,0.781571626663208,2.836097478866577,-1.213731288909912
s23,soma,,30,30,18,pre,odor,True,-1.4281201362609863,-0.24696946144104004,-2.614365577697754
s23,soma,,31,31,0,pre,odor,True,-0.14148783683776855,2.038884401321411,-2.122035026550293
s23,soma,,32,32,12,post,odor,True,0.11180480569601059,1.8763575553894043,-2.0545084476470947
s23,soma,,33,33,18,post,odor,True,1.0938355922698975,4.445773124694824,-2.962663412094116
s23,soma,,34,34,40,post,odor,True,0.23318921029567719,2.871079683303833,-1.7845793962478638
s23,soma,,35,35,32,post,odor,True,1.0589427947998047,4.8434038162231445,-3.2735893726348877
s23,soma,,36,36,31,post,odor,True,0.555171549320221,3.741367816925049,-1.6624257564544678
s23,soma,,37,37,0,post,odor,True,-0.15710201859474182,3.1116795539855957,-2.7057008743286133
s23,soma,,38,38,4,post,odor,True,0.17047235369682312,2.6126444339752197,-1.791407823562622
s23,soma,,39,39,2,post,odor,True,0.013372822664678097,3.8111412525177,-2.29557728767395
s23,soma,,40,40,3,post,odor,True,0.3125961124897003,3.3359293937683105,-1.5693809986114502
s23,soma,,41,41,21,post,odor,True,2.505059242248535,5.886832237243652,-1.081154227256775
s23,soma,,42,42,31,post,odor,True,0.3229929804801941,3.6485092639923096,-2.440021514892578
s23,soma,,43,43,2,post,odor,True,-0.04762209206819534,1.5344973802566528,-1.97104811668396
s23,soma,,44,44,32,post,odor,True,0.9138205051422119,4.886263370513916,-2.6973743438720703
s23,soma,,45,45,40,post,odor,True,0.22238336503505707,2.7903122901916504,-2.650693655014038
s23,soma,,46,46,1,post,odor,True,0.07115117460489273,2.954761266708374,-2.1622350215911865
