unit_id,unit_type,group_id,odor_id,block,epoch,n_trials,mean_response_z,median_response_z,response_q25,response_q75,response_ci95_low,response_ci95_high
s1,soma,,39,pre,odor,2.0,0.295896053314209,0.295896053314209,-0.257158100605011,0.848950207233429,-13.758542566464753,14.35033467309317
s1,soma,,17,pre,odor,2.0,-2.0966129302978516,-2.0966129302978516,-2.575812816619873,-1.61741304397583,-14.274236660616339,10.081010800020636
s1,soma,,32,pre,odor,2.0,6.859809160232544,6.859809160232544,6.24295699596405,7.476661324501038,-8.815890622063343,22.53550894252843
s1,soma,,30,pre,odor,2.0,2.3105239011347294,2.3105239011347294,1.1909829284995794,3.4300648737698793,-26.139709716542004,30.760757518811463
s1,soma,,40,pre,odor,2.0,0.970238521695137,0.970238521695137,0.2508438751101494,1.6896331682801247,-17.31131280953864,19.251789852928916
s1,soma,,3,pre,odor,2.0,2.938101887702942,2.938101887702942,2.4773605465888977,3.398843228816986,-8.770445733526554,14.646649508932438
s1,soma,,2,pre,odor,2.0,1.4675600826740265,1.4675600826740265,0.9980823248624802,1.9370378404855728,-10.463000936993463,13.398121102341516
s1,soma,,1,pre,odor,2.0,2.0261480808258057,2.0261480808258057,1.9585627317428589,2.0937334299087524,0.3086415155982889,3.743654646053322
s1,soma,,4,pre,odor,2.0,1.5177292227745056,1.5177292227745056,1.4236606657505035,1.6117977797985077,-0.8727794667924829,3.908237912341494
s1,soma,,31,pre,odor,2.0,0.2839529812335968,0.2839529812335968,-0.33824045956134796,0.9061464220285416,-15.527481507257512,16.095387469724706
s1,soma,,21,pre,odor,2.0,5.035499691963196,5.035499691963196,4.393772780895233,5.6772266030311584,-11.272327341521809,21.3433267254482
s1,soma,,12,pre,odor,2.0,-0.38398438692092896,-0.38398438692092896,-1.1314997971057892,0.3635310232639313,-19.38015207742981,18.61218330358795
s1,soma,,22,pre,odor,2.0,0.20944643579423428,0.20944643579423428,0.08342132810503244,0.3354715434834361,-2.99315520460069,3.4120480761891585
s1,soma,,10,pre,odor,2.0,2.3681167364120483,2.3681167364120483,2.143828809261322,2.5924046635627747,-3.3315799080466784,8.067813380870774
s1,soma,,0,pre,odor,2.0,2.7411677837371826,2.7411677837371826,2.728464722633362,2.7538708448410034,2.418352393414614,3.0639831740597514
s1,soma,,18,pre,odor,2.0,-2.0455629229545593,-2.0455629229545593,-2.1873858869075775,-1.9037399590015411,-5.649626155510905,1.558500309601786
s1,soma,,12,post,odor,2.0,2.446724534034729,2.446724534034729,2.3334062695503235,2.5600427985191345,-0.4329656037389711,5.326414671808429
s1,soma,,18,post,odor,2.0,1.4576669335365295,1.4576669335365295,1.3905892670154572,1.524744600057602,-0.24693819454666377,3.162272061619723
s1,soma,,40,post,odor,2.0,0.7451238632202148,0.7451238632202148,0.7439365386962891,0.7463111877441406,0.7149510862416506,0.7752966401987791
s1,soma,,32,post,odor,2.0,1.106993019580841,1.106993019580841,0.8687711656093597,1.3452148735523224,-4.946798278804664,7.160784317966346
s1,soma,,31,post,odor,2.0,1.0464944541454315,1.0464944541454315,0.8528033047914505,1.2401856034994125,-3.875664344407915,5.968653252698778
s1,soma,,0,post,odor,2.0,0.7880298793315887,0.7880298793315887,0.6280640512704849,0.9479957073926926,-3.2770872449406196,4.853147003603797
s1,soma,,4,post,odor,2.0,1.9273005723953247,1.9273005723953247,1.553407609462738,2.3011935353279114,-7.574220500477519,11.428821645268169
s1,soma,,2,post,odor,2.0,1.9933382272720337,1.9933382272720337,1.9034462571144104,2.083230197429657,-0.29103332664970116,4.277709781193769
s1,soma,,3,post,odor,2.0,2.124439537525177,2.124439537525177,1.9229010045528412,2.325978070497513,-2.997140186824409,7.246019261874763
s1,soma,,21,post,odor,2.0,4.024560332298279,4.024560332298279,3.5160909295082092,4.533029735088348,-8.896872335563922,16.945993000160477
s1,soma,,1,post,odor,2.0,0.31970246881246567,0.31970246881246567,0.22992243245244026,0.4094825051724911,-1.9618245776109164,2.6012295152358478
s1,soma,,22,post,odor,2.0,1.3614971041679382,1.3614971041679382,1.3180215656757355,1.404972642660141,0.2566789179731943,2.466315290362682
s1,soma,,10,post,odor,1.0,0.32883504033088684,0.32883504033088684,0.32883504033088684,0.32883504033088684,,
s1,soma,,30,post,odor,2.0,2.178471803665161,2.178471803665161,1.9991835355758667,2.3577600717544556,-2.3776750786083403,6.7346186859386625
s1,soma,,17,post,odor,2.0,0.4022039622068405,0.4022039622068405,0.38310524076223373,0.4213026836514473,-0.08314056754184723,0.8875484919555283
s1,soma,,39,post,odor,2.0,0.5250342711806297,0.5250342711806297,0.30441049113869667,0.7456580512225628,-5.081547566582518,6.131616108943778
s23,soma,,39,pre,odor,2.0,0.1587686538696289,0.1587686538696289,-0.3427676558494568,0.6603049635887146,-12.586477413962822,12.90401472170208
s23,soma,,17,pre,odor,2.0,0.0372186005115509,0.0372186005115509,-0.37684981524944305,0.45128701627254486,-10.485257530373834,10.559694731396936
s23,soma,,32,pre,odor,2.0,2.0746355652809143,2.0746355652809143,1.635800689458847,2.5134704411029816,-9.077215989857054,13.226487120418883
s23,soma,,30,pre,odor,2.0,0.8082074522972107,0.8082074522972107,0.6699149906635284,0.9464999139308929,-2.70613720967709,4.322552114271511
s23,soma,,40,pre,odor,2.0,-0.05297195911407471,-0.05297195911407471,-0.33183059096336365,0.22588667273521423,-7.139441696567336,7.0334977783391865
s23,soma,,3,pre,odor,2.0,3.0794214010238647,3.0794214010238647,2.28169447183609,3.8771483302116394,-17.192741970615728,23.351584772663458
s23,soma,,2,pre,odor,2.0,0.6858775168657303,0.6858775168657303,0.4005342647433281,0.9712207689881325,-6.5653820462405825,7.937137079972043
s23,soma,,1,pre,odor,2.0,0.7560054659843445,0.7560054659843445,0.7143793702125549,0.797631561756134,-0.3018139245036029,1.8138248564722919
s23,soma,,4,pre,odor,2.0,1.8884381651878357,1.8884381651878357,1.3906950056552887,2.3861813247203827,-10.760414816914174,14.537291147289846
s23,soma,,31,pre,odor,2.0,2.110926926136017,2.110926926136017,1.9636774957180023,2.2581763565540314,-1.631035894216787,5.85288974648882
s23,soma,,21,pre,odor,2.0,0.8422201871871948,0.8422201871871948,0.796245664358139,0.8881947100162506,-0.32610321224064553,2.010543586615035
s23,soma,,12,pre,odor,2.0,1.5946404933929443,1.5946404933929443,1.4170610308647156,1.772219955921173,-2.9180815222541296,6.107362509040018
s23,soma,,22,pre,odor,2.0,2.2979148626327515,2.2979148626327515,2.2510462403297424,2.3447834849357605,1.106870241263799,3.488959484001704
s23,soma,,10,pre,odor,2.0,3.477961301803589,3.477961301803589,2.7257884740829468,4.230134129524231,-15.636562590208278,22.592485193815456
s23,soma,,0,pre,odor,2.0,-0.10160268284380436,-0.10160268284380436,-0.12154525984078646,-0.08166010584682226,-0.6083916154249692,0.4051862497373605
s23,soma,,18,pre,odor,2.0,-0.32327425479888916,-0.32327425479888916,-0.8756971955299377,0.22914868593215942,-14.36167222657569,13.715123716977912
s23,soma,,12,post,odor,2.0,0.0905170775949955,0.0905170775949955,0.07987321354448795,0.10116094164550304,-0.17996915402452152,0.3610033092145125
s23,soma,,18,post,odor,2.0,0.7632705569267273,0.7632705569267273,0.5979880392551422,0.9285530745983124,-3.4369564607644163,4.963497574617871
s23,soma,,40,post,odor,2.0,0.22778628766536713,0.22778628766536713,0.2250848263502121,0.23048774898052216,0.15913564655093604,0.2964369287797982
s23,soma,,32,post,odor,2.0,0.9863816499710083,0.9863816499710083,0.9501010775566101,1.0226622223854065,0.06440488788509768,1.908358412056919
s23,soma,,31,post,odor,2.0,0.4390822649002075,0.4390822649002075,0.3810376226902008,0.49712690711021423,-1.0359719506164982,1.9141364804169132
s23,soma,,0,post,odor,2.0,-0.038978613913059235,-0.038978613913059235,-0.09804031625390053,0.02008308842778206,-1.5398787779325345,1.461921550106416
s23,soma,,4,post,odor,2.0,0.12269740179181099,0.12269740179181099,0.09880992583930492,0.14658487774431705,-0.48434091837417237,0.7297357219577943
s23,soma,,2,post,odor,2.0,-0.017124634701758623,-0.017124634701758623,-0.03237336338497698,-0.0018759060185402632,-0.40463157193246263,0.3703823025289454
s23,soma,,3,post,odor,2.0,0.26221033185720444,0.26221033185720444,0.2370174415409565,0.2874032221734524,-0.3780017126512738,0.9024223763656827
s23,soma,,21,post,odor,2.0,2.64229953289032,2.64229953289032,2.5736793875694275,2.710919678211212,0.898496301943684,4.386102763836956
s23,soma,,1,post,odor,2.0,-0.05165954306721687,-0.05165954306721687,-0.11306490190327168,0.009745815768837929,-1.612117665605589,1.5087985794711551
s23,soma,,22,post,odor,2.0,0.5507140308618546,0.5507140308618546,0.4399785026907921,0.661449559032917,-2.263342554158066,3.364770615881775
s23,soma,,10,post,odor,1.0,-0.029553784057497978,-0.029553784057497978,-0.029553784057497978,-0.029553784057497978,,
s23,soma,,30,post,odor,2.0,0.674363523721695,0.674363523721695,0.6400329321622849,0.708694115281105,-0.19805952641401614,1.546786573857406
s23,soma,,17,post,odor,2.0,0.7373084723949432,0.7373084723949432,0.6857191175222397,0.7888978272676468,-0.5737013380445426,2.048318282834429
s23,soma,,39,post,odor,2.0,0.06725229602307081,0.06725229602307081,0.034928922075778246,0.09957566997036338,-0.7541625182533981,0.8886671102995397
s46,soma,,39,pre,odor,2.0,-1.0504384338855743,-1.0504384338855743,-1.3662299066781998,-0.7346469610929489,-9.075460648368052,6.9745837805969035
s46,soma,,17,pre,odor,2.0,-1.0158720910549164,-1.0158720910549164,-1.2483712881803513,-0.7833728939294815,-6.924236890398944,4.892492708289112
s46,soma,,32,pre,odor,2.0,4.267918825149536,4.267918825149536,3.7675775289535522,4.76826012134552,-8.446959069708853,16.982796720007926
s46,soma,,30,pre,odor,2.0,1.7594950050115585,1.7594950050115585,1.0808893218636513,2.438100688159466,-15.485510485406444,19.00450049542956
