group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
186,m472,DAT,na,DAT,units,r1,108,0.2536231884057971,,-0.14740667903496535,-0.1883116883116883
186,m472,DAT,na,DAT,units,r2,108,0.2536231884057971,,0.19204798687932562,-0.2532467532467532
186,m472,DAT,na,DAT,units,r3,108,0.2536231884057971,,-0.034361902053916385,0.011688311688311687
186,m472,DAT,na,DAT,units,r4,108,0.2536231884057971,,-0.25547431116585056,-0.18961038961038962
186,m472,DAT,na,DAT,units,r5,108,0.2536231884057971,,-0.0969658738772058,0.07922077922077922
186,m472,DAT,na,DAT,units,r6,108,0.2536231884057971,,0.017379367464308623,0.02077922077922078
186,m472,DAT,na,DAT,units,r7,108,0.2536231884057971,,-0.31583115707215925,-0.4922077922077922
186,m472,DAT,na,DAT,units,r8,108,0.2536231884057971,,-0.10237331943487653,0.12207792207792208
186,m472,DAT,na,DAT,units,r9,108,0.2536231884057971,,-0.008261773584133505,0.08571428571428572
186,m472,DAT,na,DAT,units,r10,108,0.2536231884057971,,0.09020537165037434,0.09220779220779221
186,m472,DAT,na,DAT,units,r11,108,0.2536231884057971,,-0.08734148138596695,-0.17792207792207793
186,m472,DAT,na,DAT,units,r12,108,0.2536231884057971,,0.06453076276912612,-0.2753246753246753
186,m472,DAT,na,DAT,units,r13,108,0.2536231884057971,,0.004398629454515524,-0.1961038961038961
186,m472,DAT,na,DAT,units,j2,108,0.2536231884057971,,0.06269003196479082,-0.37532467532467534
186,m472,DAT,na,DAT,units,r15,108,0.2536231884057971,,0.09631564169697308,-0.04935064935064935
186,m472,DAT,na,DAT,units,r16,108,0.2536231884057971,,0.024345457806948963,0.025974025974025972
186,m472,DAT,na,DAT,units,r17,108,0.2536231884057971,,-0.008921568002310835,0.04805194805194805
186,m472,DAT,na,DAT,units,j5,108,0.2536231884057971,,-0.05712002836206192,0.029870129870129873
186,m472,DAT,na,DAT,units,r20,108,0.2536231884057971,,-0.17764725653475957,-0.12337662337662336
186,m472,DAT,na,DAT,units,r21,108,0.2536231884057971,,-0.14004853693659644,-0.20649350649350648
186,m472,DAT,na,DAT,units,r22,108,0.2536231884057971,,0.14289330272511463,-0.01818181818181818
186,m472,DAT,na,DAT,units,r23,108,0.2536231884057971,,0.11344639097472213,0.062337662337662345
186,m472,DAT,na,DAT,units,r24,108,0.2536231884057971,,-0.11040559930833965,0.15844155844155844
186,m472,DAT,na,DAT,units,r25,108,0.2536231884057971,,-0.03939163921277544,-0.5636363636363637
186,m472,DAT,na,DAT,units,r26,108,0.2536231884057971,,-0.15104032945391296,-0.42727272727272725
186,m472,DAT,na,DAT,units,r27,108,0.2536231884057971,,-0.030484414567381497,-0.05844155844155843
186,m472,DAT,na,DAT,units,j1,108,0.2536231884057971,,0.037565251765357036,-0.031168831168831172
186,m472,DAT,na,DAT,units,r29,108,0.2536231884057971,,0.07997855816862574,-0.011688311688311687
186,m472,DAT,na,DAT,units,r30,108,0.2536231884057971,,-0.047964185530108415,-0.36103896103896105
186,m472,DAT,na,DAT,units,r31,108,0.2536231884057971,,0.14910875738910395,-0.03766233766233767
186,m472,DAT,na,DAT,units,r32,108,0.2536231884057971,,0.04099809518746806,-0.5220779220779221
186,m472,DAT,na,DAT,units,r33,108,0.2536231884057971,,-0.09032968074365412,-0.17272727272727273
186,m472,DAT,na,DAT,units,r34,108,0.2536231884057971,,-0.05908028714070471,0.023376623376623374
186,m472,DAT,na,DAT,units,r35,108,0.2536231884057971,,-0.04521982324000851,-0.21038961038961035
186,m472,DAT,na,DAT,units,r37,108,0.2536231884057971,,0.1407704859014137,0.0
186,m472,DAT,na,DAT,units,r38,108,0.2536231884057971,,-0.06153300117349434,0.17792207792207793
186,m472,DAT,na,DAT,units,j3,108,0.2536231884057971,,0.05100975831546318,-0.16103896103896104
186,m472,DAT,na,DAT,units,r41,108,0.2536231884057971,,0.03691501958512431,-0.04935064935064935
186,m472,DAT,na,DAT,units,r42,108,0.2536231884057971,,-0.09274892694363766,-0.022077922077922082
186,m472,DAT,na,DAT,units,r43,108,0.2536231884057971,,-0.02200270951052222,-0.6363636363636362
186,m472,DAT,na,DAT,units,r44,108,0.2536231884057971,,-0.07467629722834562,-0.015584415584415586
186,m472,DAT,na,DAT,units,r45,108,0.2536231884057971,,0.024273741022364473,0.0
186,m472,DAT,na,DAT,units,r46,108,0.2536231884057971,,0.007166897339476925,-0.01818181818181818
186,m472,DAT,na,DAT,units,r47,108,0.2536231884057971,,0.20418724794999402,-0.2584415584415584
186,m472,DAT,na,DAT,units,r48,108,0.2536231884057971,,-0.23711959543119282,-0.2025974025974026
186,m472,DAT,na,DAT,units,r50,108,0.2536231884057971,,0.12625022758254015,-0.032467532467532464
186,m472,DAT,na,DAT,units,r51,108,0.2536231884057971,,0.08204400156465912,0.1077922077922078
186,m472,DAT,na,DAT,units,r52,108,0.2536231884057971,,0.0323203642527445,-0.3766233766233766
186,m472,DAT,na,DAT,units,r53,108,0.2536231884057971,,0.10892823354589912,0.13766233766233765
186,m472,DAT,na,DAT,units,r54,108,0.2536231884057971,,-0.15400940433571092,-0.08441558441558442
186,m472,DAT,na,DAT,units,r55,108,0.2536231884057971,,0.017321994036641024,-0.33246753246753247
186,m472,DAT,na,DAT,units,r56,108,0.2536231884057971,,-0.1949453449765391,-0.4714285714285714
186,m472,DAT,na,DAT,units,r57,108,0.2536231884057971,,-0.23357200515374663,-0.6870129870129871
186,m472,DAT,na,DAT,units,r58,108,0.2536231884057971,,0.03711104546298858,-0.3818181818181818
