group_id,mouse,line,depth_class,cohort,compartment,arousal_measure,q10_z_high,q10_z_low,q90_z_high,q90_z_low,central80_width_z_high,central80_width_z_low,negative_tail_high_minus_low,positive_tail_high_minus_low,width_high_minus_low
186,m472,DAT,na,DAT,units,running,-1.8613781524286812,-2.4001118708915397,2.9698393194127424,1.6894168689431424,4.831217471841424,4.089528739834682,0.5387337184628584,1.2804224504696,0.7416887320067422
187,m472,DAT,na,DAT,units,pupil_dilation,-1.6411696890333292,-1.9585307306957642,2.00734381598513,1.2812314957392286,3.648513505018459,3.239762226434993,0.31736104166243506,0.7261123202459012,0.40875127858346616
187,m472,DAT,na,DAT,units,running,-1.3715635682887433,-1.934899308800402,2.661665305507107,1.662568050454589,4.03322887379585,3.5974673592549906,0.5633357405116588,0.9990972550525179,0.43576151454085954
189,m465,TH,na,TH,units,pupil_dilation,-1.961404876961786,-2.7063771818117996,1.531680815221852,1.6398553804399443,3.493085692183638,4.3462325622517435,0.7449723048500136,-0.10817456521809232,-0.8531468700681053
189,m465,TH,na,TH,units,running,-1.5039927326029532,-1.9080084476757737,3.269446404484452,1.949530953654562,4.773439137087405,3.8575394013303357,0.4040157150728205,1.31991545082989,0.9158997357570695
190,m472,DAT,na,DAT,units,running,-1.900971287815471,-1.8893732715368383,2.733515891060422,1.6144551746838705,4.634487178875893,3.5038284462207083,-0.011598016278632661,1.1190607163765516,1.1306587326551845
195,m466,TH,na,TH,units,pupil_dilation,-1.576817126285336,-1.8819249131549673,2.684223325553946,1.4302916642239558,4.261040451839282,3.3122165773789236,0.30510778686963125,1.25393166132999,0.9488238744603583
195,m466,TH,na,TH,units,running,-1.5156861641347865,-2.0242574264170545,2.7142787686066154,1.4050024124957046,4.229964932741402,3.4292598389127593,0.508571262282268,1.3092763561109109,0.8007050938286429
206,m462,TH,na,TH,units,running,-1.8066925181217992,-1.5323491895344352,1.503381976790184,1.7450550816706079,3.310074494911983,3.2774042712050426,-0.274343328587364,-0.24167310488042393,0.032670223706940504
215,m496,DAT,na,DAT,units,pupil_dilation,-1.3371278482521818,-2.0255833013285036,2.3447567900991615,1.0690659818811663,3.6818846383513435,3.0946492832096695,0.6884554530763218,1.2756908082179952,0.587235355141674
215,m496,DAT,na,DAT,units,running,-1.395872641610895,-1.8242644077158403,2.3787888735599387,1.3277626942005352,3.7746615151708336,3.1520271019163757,0.4283917661049452,1.0510261793594036,0.6226344132544579
218,m496,DAT,na,DAT,units,running,-1.7583869208917708,-1.8643400520213071,2.2513399664933123,1.4643776494495107,4.009726887385083,3.328717701470818,0.1059531311295363,0.7869623170438016,0.6810091859142653
222,m496,DAT,na,DAT,units,pupil_dilation,-1.4812739746220698,-1.7266043038637184,1.9803355876081021,1.501433625196882,3.4616095622301715,3.2280379290606005,0.24533032924164866,0.4789019624112201,0.23357163316957097
222,m496,DAT,na,DAT,units,running,-1.432313339910834,-1.731968679781294,2.3736341931500116,1.2751286914442315,3.8059475330608454,3.007097371225526,0.29965533987046,1.09850550170578,0.7988501618353196
229,m357,TH,na,TH,units,pupil_dilation,-2.385105425649194,-1.8829695222352363,2.2613085825053267,1.6143914953892242,4.646414008154521,3.4973610176244607,-0.5021359034139576,0.6469170871161025,1.14905299053006
229,m357,TH,na,TH,units,running,-1.6810612970076404,-2.0242783120768313,2.14626576739669,2.2478648729812933,3.8273270644043302,4.272143185058125,0.3432170150691909,-0.1015991055846035,-0.44481612065379483
