unit_id,unit_type,group_id,odor_id,block,epoch,n_trials,mean_response_z,median_response_z,response_q25,response_q75,response_ci95_low,response_ci95_high
p237,process,,39,pre,odor,2.0,0.3586919903755188,0.3586919903755188,0.021648317575454712,0.6957356631755829,-8.206399832884257,8.923783813635294
p237,process,,17,pre,odor,2.0,-0.5743966400623322,-0.5743966400623322,-1.035977378487587,-0.11281590163707733,-12.304275369474302,11.155482089349638
p237,process,,32,pre,odor,2.0,5.310828447341919,5.310828447341919,4.709345459938049,5.912311434745789,-9.974303519217186,20.595960413901025
p237,process,,30,pre,odor,2.0,0.640254408121109,0.640254408121109,0.4751899689435959,0.8053188472986221,-3.554430709581565,4.834939525823783
p237,process,,40,pre,odor,2.0,1.331471636891365,1.331471636891365,0.5574486777186394,2.1054945960640907,-18.33831674260551,21.00126001638824
p237,process,,3,pre,odor,2.0,1.57359978556633,1.57359978556633,0.9192680865526199,2.22793148458004,-15.05454528050814,18.2017448516408
p237,process,,2,pre,odor,2.0,2.785028576850891,2.785028576850891,2.265113651752472,3.3049435019493103,-10.427262390535999,15.997319544237781
p237,process,,1,pre,odor,2.0,0.3975626230239868,0.3975626230239868,0.3049295246601105,0.49019572138786316,-1.9564676032912565,2.75159284933923
p237,process,,4,pre,odor,2.0,1.7160946000367403,1.7160946000367403,0.8857537908479571,2.5464354092255235,-19.38486604467055,22.81705524474403
p237,process,,31,pre,odor,2.0,0.9276660978794098,0.9276660978794098,0.6277735680341721,1.2275586277246475,-6.693325668246531,8.54865786400535
p237,process,,21,pre,odor,2.0,0.22928044386208057,0.22928044386208057,0.12584767024964094,0.3327132174745202,-2.39919555203805,2.8577564397622113
p237,process,,12,pre,odor,2.0,0.626876650378108,0.626876650378108,0.3368518026545644,0.9169014981016517,-6.743353537128361,7.997106837884577
p237,process,,22,pre,odor,2.0,0.6403422504663467,0.6403422504663467,0.35198231786489487,0.9287021830677986,-6.6875784322208185,7.968262933153512
p237,process,,10,pre,odor,2.0,1.1940033733844757,1.1940033733844757,0.744328185915947,1.6436785608530045,-10.233326620121252,12.621333366890203
p237,process,,0,pre,odor,2.0,0.05029545724391937,0.05029545724391937,0.04849490895867348,0.05209600552916527,0.004539186944514141,0.09605172754332461
p237,process,,18,pre,odor,2.0,-0.09019948914647102,-0.09019948914647102,-0.16670389659702778,-0.013695081695914268,-2.0343608177194765,1.8539618394265345
