group_id,mouse,line,depth_class,compartment,state,pair,integrated_crossnobis,integrated_null_z,integrated_cosine,spatiotemporal_crossnobis,spatiotemporal_null_z
199,m465,TH,superficial,somas,pre,17-18,-0.3631966229997793,-0.7992855357289457,0.12049716711044312,-0.05273785945260775,-0.8105511978789911
199,m465,TH,superficial,somas,pre,39-40,-0.15237343275942158,-0.6821465875726752,0.09868824481964111,-0.18910006397496862,-0.6426751580655773
199,m465,TH,superficial,somas,post,17-18,0.04469790296789876,-0.7254126375760861,0.08570539951324463,0.03969450692732416,-0.9023746796905491
199,m465,TH,superficial,somas,post,31-32,0.05905788521996095,-0.2084017399371119,0.10196709632873535,0.07179512428070832,-0.6759586271266886
199,m465,TH,superficial,somas,post,39-40,0.18405645653515307,1.3332730819919738,0.11673939228057861,0.11046857503515703,0.41965751297699244
199,m465,TH,superficial,processes,pre,17-18,-0.26503843786688086,-0.8876761582221937,0.20178455114364624,0.6439185791179696,-0.26698404348441296
199,m465,TH,superficial,processes,pre,39-40,0.015834116454587308,-0.4097064516750463,0.242121160030365,-0.04534378258544588,-0.4127811273138779
199,m465,TH,superficial,processes,post,17-18,0.14532041856535868,0.6662973278604061,0.05925029516220093,0.13302532534455097,1.2360689896059973
199,m465,TH,superficial,processes,post,31-32,0.06738072731155935,-0.1769689082781206,0.09326314926147461,0.12193712903162938,-0.08245440609216215
199,m465,TH,superficial,processes,post,39-40,0.06155352028597905,0.09596500608539273,0.07209831476211548,0.05420722101951098,-0.1461507776205331
201,m472,DAT,superficial,somas,pre,17-18,1.0873925684788228,0.8820748721322687,0.8830572962760925,0.8100631308371,0.2701101666025362
201,m472,DAT,superficial,somas,pre,31-32,0.5853324732299607,2.267895533864074,0.04972797632217407,0.555980587403758,2.670846533623773
201,m472,DAT,superficial,somas,pre,39-40,-0.052792989974053496,-0.5428964384393802,0.11820214986801147,0.24426891875550552,0.4787843400242669
201,m472,DAT,superficial,somas,post,17-18,0.07196365914743416,-0.3151209853270384,0.10211294889450073,0.10244742966801194,-0.6127016717612372
201,m472,DAT,superficial,somas,post,31-32,-0.011161494029589792,-0.3128601839323069,0.0429157018661499,-0.00811833821487574,-0.2886347405768505
201,m472,DAT,superficial,somas,post,39-40,-0.004074648255824727,-0.36900309441502105,0.04508841037750244,0.03314030557519643,-0.16499570638922595
201,m472,DAT,superficial,processes,pre,17-18,0.6518128160664673,0.19864168592789985,0.9206122756004333,0.6724171664344126,0.13509359491125836
201,m472,DAT,superficial,processes,pre,31-32,0.30880709477219326,1.3666346742465152,0.0362476110458374,0.3649593185668886,1.8933495302748582
201,m472,DAT,superficial,processes,pre,39-40,0.0197640992836562,-0.2940751175166282,0.15163177251815796,0.2781273532862624,0.6257419587243771
201,m472,DAT,superficial,processes,post,17-18,0.1041977556870907,0.3097158422842082,0.08512508869171143,0.12278885335052972,-0.328971794355798
201,m472,DAT,superficial,processes,post,31-32,0.027926022153027738,-0.09376593850407124,0.04566943645477295,0.019050674360019604,-0.14318839113555826
201,m472,DAT,superficial,processes,post,39-40,0.04226511844291179,-0.010556374174270255,0.036762237548828125,0.045271618973551336,-0.03563410692618519
202,m496,DAT,superficial,somas,pre,17-18,0.09862657262498081,0.17499484734573956,0.07678699493408203,0.0902729514402201,0.31399110937250185
202,m496,DAT,superficial,somas,pre,31-32,0.36743235327164,2.529774609387446,0.018137454986572266,0.2237434968286366,1.5624012242251173
202,m496,DAT,superficial,somas,pre,39-40,0.14825447993982474,-0.2275470973920655,0.21622401475906372,0.19484375517660954,-0.015656753275160085
202,m496,DAT,superficial,somas,post,17-18,-0.057314435847408876,-0.6616439894369949,0.05727654695510864,-0.06786186767820977,-0.5786029655171309
202,m496,DAT,superficial,somas,post,31-32,1.2207765894270148,-0.01545146216931014,0.06892561912536621,1.5399435258386278,1.223342665600998
202,m496,DAT,superficial,somas,post,39-40,0.42358536528188284,0.21959013584771747,0.10281383991241455,0.3306739238264346,-0.0021890951406478543
202,m496,DAT,superficial,processes,pre,17-18,0.15318063031423063,0.3875829653568787,0.08042412996292114,0.10373963556455403,0.2654401232739908
202,m496,DAT,superficial,processes,pre,31-32,0.46021801295871273,2.611408105872086,0.014940977096557617,0.3006924829256255,2.3430966139396956
202,m496,DAT,superficial,processes,pre,39-40,0.573757481206201,0.14853374810085945,0.2216113805770874,0.44081505755691774,0.501837167410731
202,m496,DAT,superficial,processes,post,17-18,0.048113762940431376,-0.07690549310960781,0.041171133518218994,0.034826537654504316,-0.283781598686936
202,m496,DAT,superficial,processes,post,31-32,0.8823797283651369,-0.06844962357149734,0.04750150442123413,1.362985358183099,0.8520640867849486
202,m496,DAT,superficial,processes,post,39-40,0.35082153410720784,0.07572966826518686,0.10101485252380371,0.3192688829340044,-0.011017076314607552
203,m462,TH,deep,somas,pre,17-18,0.3468209784417091,1.029782634471107,0.21748042106628418,0.30778541116630276,1.8349496079695156
203,m462,TH,deep,somas,pre,31-32,0.02342414048813458,-0.7572191861821949,0.009798049926757812,0.07450097604800036,-0.6643643405476632
203,m462,TH,deep,somas,pre,39-40,1.301659490354297,1.2969420940559593,0.3278760313987732,1.2705209849865793,1.2352038803468375
203,m462,TH,deep,somas,post,17-18,0.026504468537282597,-0.4751803881118282,0.15964841842651367,0.04280166519588172,-0.38785824798601826
203,m462,TH,deep,somas,post,31-32,0.4181322769994564,0.2696488459345338,0.20776689052581787,0.7219838813678027,0.9896732215541244
203,m462,TH,deep,somas,post,39-40,0.40146588047198545,0.5897637270762902,0.1826460361480713,0.11703351966580569,-0.9830960619035021
203,m462,TH,deep,processes,pre,17-18,0.4274822449663772,1.6377721459577863,0.13034099340438843,0.2709401916010938,1.650131043092769
203,m462,TH,deep,processes,pre,31-32,0.22283351377498398,-0.14304952854568462,0.007781624794006348,0.1849880169419468,-0.4750410300765721
203,m462,TH,deep,processes,pre,39-40,0.2977132837782432,-0.33222593814362833,0.2603471875190735,0.48354106148488063,-0.1615740049923682
203,m462,TH,deep,processes,post,17-18,-0.039523848154111835,-0.8929009703246373,0.052068889141082764,0.01562433834995278,-0.8247030302879014
203,m462,TH,deep,processes,post,31-32,0.6561095441927447,0.4530548492285555,0.0772443413734436,0.7545790916712555,0.5138530955352864
