line,pair,bin_start_s,group_id,bin_stop_s,n_a,n_b,cv_pattern_energy_z2,signed_cv_pattern_rms_z,centroid_difference_rms_z,q10_z,q25_z,median_z,q75_z,q90_z,central80_width_z
DAT,17-18,0.0,203.25,1.0,7.5,6.75,0.1422275554118736,0.185390858509655,0.7565447837114334,-0.2728795617818832,0.15579964220523834,0.7247271854430437,1.4802343249320984,2.8146253645420076,3.40310427993536
DAT,17-18,1.0,203.25,2.0,7.5,6.75,0.1409757829967223,0.1539244292391886,0.8753503113985062,-1.5046668991446497,-0.9013681118376553,0.030175648629665375,1.2020657919347286,3.0636818408966073,4.64159279614687
DAT,17-18,2.0,203.25,3.0,7.5,6.75,-0.05581509933277116,0.021346279627722134,0.8523039668798447,-1.0573607988655567,-0.250239135697484,0.8447855710983276,2.3437342792749405,4.42538470029831,5.5444156356155885
DAT,17-18,3.0,203.25,4.0,7.5,6.75,-0.10443721862557473,-0.20779845458737956,0.9070451110601425,-0.83603737950325,-0.047033220529556274,1.1369170770049095,2.9759708791971207,5.176477527618409,6.092590162903071
DAT,31-32,0.0,203.25,1.0,7.5,6.75,-0.09216276978698659,-0.16300651788010298,0.7891883254051208,-0.05665450021624563,0.3820950910449028,1.2724545001983643,3.359234780073166,5.963598012924194,5.83879071623087
DAT,31-32,1.0,203.25,2.0,7.5,6.75,0.06833297748371911,0.06867194589392489,1.1378940045833588,-0.15035059154033648,0.4380588047206402,1.5635978430509567,4.75053733587265,8.468033075332642,8.731915725604631
DAT,31-32,2.0,203.25,3.0,7.5,6.75,0.5080244077130158,0.5440437426997474,1.4301654696464539,-0.306242374330759,0.45239576138556004,1.7323402166366577,4.843684554100037,9.020358514785768,9.126061335206032
DAT,31-32,3.0,203.25,4.0,7.5,6.75,0.28943801588955775,0.4031820230907771,1.4159583151340485,-0.2444807015359401,0.6069913287647069,1.8487833589315414,4.989262253046036,8.996033620834352,9.174400090426207
DAT,39-40,0.0,203.25,1.0,6.0,5.0,0.4760162142763393,0.6846536755991639,0.9666211009025574,-0.3165244817733764,0.04770499840378761,0.49732574075460434,1.1977519616484642,2.2685103774070754,2.524640987068416
DAT,39-40,1.0,203.25,2.0,6.0,5.0,1.7121097824257088,1.1848750418449767,1.453027993440628,-1.2382434144616128,-0.6044637428130955,0.037299253046512604,1.3247726187109947,3.141062480211259,4.4225172843784115
DAT,39-40,2.0,203.25,3.0,6.0,5.0,2.225951678016389,1.442422133018949,1.677552878856659,-0.8921979334205389,-0.19551426218822598,0.5800713524222374,2.0418946892023087,3.87287557721138,4.760161962732673
DAT,39-40,3.0,203.25,4.0,6.0,5.0,3.108084872261771,1.70539275942835,1.8730191886425018,-0.8575073603540659,-0.07523579220287502,0.691180020570755,2.1093228608369827,4.4050176620483406,5.1948741001542675
TH,17-18,0.0,214.5,1.0,5.5,5.5,-0.1341397113900805,-0.22178832173562593,0.6606503278017044,-0.19762246296158992,0.15012314822524786,0.5824890360236168,1.2039017230272293,1.9548954546451571,2.0804946477524937
TH,17-18,1.0,214.5,2.0,5.5,5.5,0.013888060403324791,0.01691126508238884,0.8146368116140366,-1.2230339020490646,-0.7424055971205235,0.08318300452083349,1.05747502297163,2.0080519795417784,3.444196063280106
TH,17-18,2.0,214.5,3.0,5.5,5.5,-0.23674408465163418,-0.26692620428185065,0.8085877969861031,-0.6369362391531468,-0.004775802604854107,0.7970855319872499,2.065830994397402,3.5993681132793434,4.018132293969393
TH,17-18,3.0,214.5,4.0,5.5,5.5,-0.3300890942513311,-0.4575080926803308,0.9319758266210556,-0.287687323987484,0.35734600108116865,1.306140623986721,2.737135484814644,4.477812594175339,4.765499918162823
TH,31-32,0.0,214.5,1.0,5.75,5.75,0.017345886875879395,-0.1109958463194487,0.7381878346204758,0.3677618525922299,1.1842716615647078,2.540546476840973,4.6823747754096985,6.5579287052154545,6.369461068883538
