group_id,mouse,line,depth_class,cohort,compartment,state,pair,bin_start_s,bin_stop_s,n_a,n_b,cv_pattern_energy_z2,signed_cv_pattern_rms_z,centroid_difference_rms_z,q10_z,q25_z,median_z,q75_z,q90_z,central80_width_z
193,m472,DAT,na,DAT,units,post,17-18,0.0,1.0,8,5,-0.028626094717292112,-0.16919247831180945,0.3781881630420685,-0.3623826920986175,-0.18059734255075455,-0.00864009652286768,0.22155055403709412,0.4490848988294603,0.8114675909280777
193,m472,DAT,na,DAT,units,post,17-18,1.0,2.0,8,5,0.1523634813112446,0.3903376503890505,0.648384153842926,0.06598425060510639,0.28187038004398346,0.819774866104126,1.3827572762966156,2.6594331741333015,2.5934489235281952
193,m472,DAT,na,DAT,units,post,17-18,2.0,3.0,8,5,-0.03918899744817277,-0.19796211114294768,0.7594482898712158,0.21038681864738465,0.5121619552373886,0.9855506718158722,1.876595377922058,3.3173672437667867,3.106980425119402
193,m472,DAT,na,DAT,units,post,17-18,3.0,4.0,8,5,-1.1319867013002525,-1.0639486365893105,0.8990068435668945,0.3350620269775391,0.6479574739933014,1.2414972186088562,2.149779796600342,3.5131140232086184,3.1780519962310794
193,m472,DAT,na,DAT,units,post,31-32,0.0,1.0,6,9,-0.1054288554777171,-0.3246980989745969,0.5223224759101868,-0.25439946353435516,-0.10943599231541157,0.09307051077485085,0.7168152630329132,1.605068016052247,1.8594674795866022
193,m472,DAT,na,DAT,units,post,31-32,1.0,2.0,6,9,0.40603339162940405,0.6372074949570227,1.9411386251449585,0.07253110483288769,0.3344217389822006,1.08848375082016,2.3644776940345764,6.128419876098633,6.055888771265745
193,m472,DAT,na,DAT,units,post,31-32,2.0,3.0,6,9,0.38474714581090463,0.6202798931215686,1.973305583000183,0.04250035770237446,0.3196665048599243,1.1099424362182617,2.9279982447624207,7.316142368316651,7.273642010614276
193,m472,DAT,na,DAT,units,post,31-32,3.0,4.0,6,9,0.9851729523655998,0.9925587903825142,2.2918295860290527,0.11384978890419009,0.39897868782281876,1.1015273928642273,2.8607524633407593,6.704196310043336,6.590346521139146
193,m472,DAT,na,DAT,units,post,39-40,0.0,1.0,6,7,-0.053600922081746875,-0.23151872944050741,0.3253611922264099,-0.21078209578990936,-0.05972948111593723,0.09720250964164734,0.3334929794073105,0.6187682986259461,0.8295503944158554
193,m472,DAT,na,DAT,units,post,39-40,1.0,2.0,6,7,-0.07091881970774107,-0.26630587621706936,0.6341053247451782,0.020228710770607027,0.2463115155696869,0.6509143114089966,1.274924248456955,2.110521054267884,2.0902923434972767
193,m472,DAT,na,DAT,units,post,39-40,2.0,3.0,6,7,0.3368068316997222,0.580350611010036,0.9495556354522705,0.11943337544798852,0.395034059882164,0.7888736724853516,1.5262925922870636,2.6612394094467167,2.541806033998728
