unit_id,unit_type,group_id,trial_id,trial_index,odor_id,block,epoch,available,response_mean_z,response_peak_positive_z,response_peak_negative_z
s1,soma,,0,0,39,pre,odor,True,2.132148504257202,5.694502830505371,-1.795180320739746
s1,soma,,1,1,17,pre,odor,True,-4.690028667449951,0.760907769203186,-10.1715087890625
s1,soma,,2,2,32,pre,odor,True,6.999154567718506,11.92454719543457,-0.038015250116586685
s1,soma,,3,3,32,pre,odor,True,10.629782676696777,15.851767539978027,-3.2417423725128174
s1,soma,,4,4,30,pre,odor,True,6.388176918029785,13.958684921264648,-3.578516721725464
s1,soma,,5,5,40,pre,odor,True,2.8317606449127197,7.7124409675598145,-1.390123724937439
s1,soma,,6,6,3,pre,odor,True,4.7680583000183105,8.929644584655762,0.03422825038433075
s1,soma,,7,7,2,pre,odor,True,4.010687351226807,7.8307785987854,-0.9298269152641296
s1,soma,,8,8,1,pre,odor,True,2.7125983238220215,5.519690990447998,-2.35321307182312
s1,soma,,9,9,4,pre,odor,True,1.7654829025268555,5.944902420043945,-3.1728973388671875
s1,soma,,10,10,31,pre,odor,True,2.2920069694519043,8.640223503112793,-3.6674859523773193
s1,soma,,11,11,21,pre,odor,True,6.781705379486084,11.917991638183594,-1.672151803970337
s1,soma,,12,12,2,pre,odor,True,0.4243115782737732,3.3323652744293213,-2.065840244293213
s1,soma,,13,13,39,pre,odor,True,-1.1937164068222046,3.028061866760254,-4.977921009063721
s1,soma,,14,14,1,pre,odor,True,2.726234197616577,7.659168720245361,-3.7088143825531006
s1,soma,,15,15,12,pre,odor,True,-2.320857524871826,4.899472236633301,-6.376800537109375
s1,soma,,16,16,22,pre,odor,True,0.7644485235214233,6.652387619018555,-3.0429210662841797
s1,soma,,17,17,10,pre,odor,True,1.9862581491470337,9.541606903076172,-3.6828463077545166
s1,soma,,18,18,17,pre,odor,True,-1.2920747995376587,3.1302199363708496,-5.664853096008301
s1,soma,,19,19,31,pre,odor,True,-1.0595965385437012,1.2221776247024536,-4.438418388366699
s1,soma,,20,20,30,pre,odor,True,0.07219672203063965,2.0883734226226807,-2.2424750328063965
s1,soma,,21,21,12,pre,odor,True,1.0737102031707764,4.24013090133667,-0.8825710415840149
s1,soma,,22,22,22,pre,odor,True,-0.043358925729990005,1.6472222805023193,-2.05265474319458
s1,soma,,23,23,4,pre,odor,True,2.089768171310425,4.696353912353516,-1.7755482196807861
s1,soma,,24,24,0,pre,odor,True,3.360733985900879,9.854110717773438,-2.8744213581085205
s1,soma,,25,25,3,pre,odor,True,2.78635835647583,6.084037780761719,-2.293508768081665
s1,soma,,26,26,40,pre,odor,True,-0.5137549042701721,6.3813700675964355,-5.891584873199463
s1,soma,,27,27,10,pre,odor,True,3.165364980697632,4.98199462890625,-2.061619281768799
s1,soma,,28,28,21,pre,odor,True,4.919272422790527,8.271101951599121,-0.7724902033805847
s1,soma,,29,29,18,pre,odor,True,-1.643405556678772,1.7860196828842163,-4.051416397094727
s1,soma,,30,30,18,pre,odor,True,-2.693232297897339,-0.8691695332527161,-4.7977190017700195
s1,soma,,31,31,0,pre,odor,True,3.0810658931732178,6.620715618133545,-1.1692285537719727
s1,soma,,32,32,12,post,odor,True,1.7559598684310913,4.144949436187744,-1.1314202547073364
s1,soma,,33,33,18,post,odor,True,1.130298376083374,3.3772482872009277,-0.8770467042922974
s1,soma,,34,34,40,post,odor,True,0.46819889545440674,2.3368723392486572,-0.9072873592376709
s1,soma,,35,35,32,post,odor,True,0.4019492268562317,1.4856592416763306,-1.1636461019515991
s1,soma,,36,36,31,post,odor,True,0.4208056628704071,1.583936095237732,-1.1303247213363647
s1,soma,,37,37,0,post,odor,True,0.6313223242759705,1.6476143598556519,-0.5938321948051453
s1,soma,,38,38,4,post,odor,True,1.6196434497833252,3.4152626991271973,-1.370843768119812
s1,soma,,39,39,2,post,odor,True,1.1438603401184082,2.9103453159332275,-1.0514684915542603
s1,soma,,40,40,3,post,odor,True,1.8564715385437012,3.641340970993042,-0.40377315878868103
s1,soma,,41,41,21,post,odor,True,2.3809654712677,6.40906286239624,-2.536060094833374
s1,soma,,42,42,31,post,odor,True,0.7571697235107422,1.8656511306762695,-0.5487258434295654
s1,soma,,43,43,2,post,odor,True,0.9185219407081604,2.5555317401885986,-1.2445274591445923
s1,soma,,44,44,32,post,odor,True,0.8312858939170837,2.1303317546844482,-0.883841872215271
s1,soma,,45,45,40,post,odor,True,0.33775508403778076,2.307194471359253,-0.7779918909072876
s1,soma,,46,46,1,post,odor,True,0.20562826097011566,1.5456771850585938,-0.8546142578125
s1,soma,,47,47,0,post,odor,True,0.2493349015712738,1.5463570356369019,-0.8668829798698425
s1,soma,,48,48,22,post,odor,True,0.8123341202735901,1.9073071479797363,-0.6316413879394531
s1,soma,,49,49,10,post,odor,True,0.1912074089050293,1.5914057493209839,-0.7963477969169617
s1,soma,,50,50,1,post,odor,True,0.07760399580001831,1.5872547626495361,-0.9446876049041748
s1,soma,,51,51,30,post,odor,True,1.1710927486419678,2.665975570678711,-1.8385828733444214
s1,soma,,52,52,12,post,odor,True,1.54460608959198,4.683813095092773,-1.2066538333892822
s1,soma,,53,53,3,post,odor,True,1.2313276529312134,3.038593053817749,-0.867339551448822
s1,soma,,54,54,21,post,odor,True,3.21899676322937,8.2721529006958,-2.0662143230438232
s1,soma,,55,55,22,post,odor,True,0.774569034576416,2.361689329147339,-1.6537623405456543
s1,soma,,56,56,18,post,odor,True,0.9855124950408936,3.128480911254883,-2.3951876163482666
s1,soma,,57,57,30,post,odor,True,1.8101483583450317,4.269336700439453,-0.5562589764595032
s1,soma,,58,58,17,post,odor,True,0.27370354533195496,2.660944938659668,-1.6853327751159668
s1,soma,,59,59,39,post,odor,True,0.051645126193761826,1.2443358898162842,-1.5312639474868774
s1,soma,,60,60,39,post,odor,True,0.6313169002532959,2.7113006114959717,-1.0215709209442139
s1,soma,,61,61,17,post,odor,True,0.3734903335571289,1.953678011894226,-1.6049388647079468
s1,soma,,62,62,4,post,odor,True,0.6593318581581116,2.536785364151001,-1.5883362293243408
s23,soma,,0,0,39,pre,odor,True,1.3958536386489868,3.934791088104248,-2.7131595611572266
s23,soma,,1,1,17,pre,odor,True,0.919097900390625,6.390992641448975,-2.3009495735168457
s23,soma,,2,2,32,pre,odor,True,3.4451770782470703,7.175705909729004,-0.03107975609600544
s23,soma,,3,3,32,pre,odor,True,1.4060311317443848,4.575932502746582,-1.3188170194625854
s23,soma,,4,4,30,pre,odor,True,1.2471305131912231,3.9071009159088135,-2.1295671463012695
s23,soma,,5,5,40,pre,odor,True,0.7537125945091248,3.738509178161621,-3.063307762145996
s23,soma,,6,6,3,pre,odor,True,4.2702178955078125,7.804199695587158,-1.1768267154693604
s23,soma,,7,7,2,pre,odor,True,2.15436053276062,5.164891242980957,-2.7602410316467285
s23,soma,,8,8,1,pre,odor,True,0.965984046459198,3.8487260341644287,-1.7448172569274902
s23,soma,,9,9,4,pre,odor,True,4.345947742462158,8.250831604003906,-1.922558069229126
s23,soma,,10,10,31,pre,odor,True,2.313279867172241,6.065764904022217,-1.67147696018219
s23,soma,,11,11,21,pre,odor,True,0.9827861189842224,4.718665599822998,-3.4761264324188232
s23,soma,,12,12,2,pre,odor,True,0.1781696379184723,2.4079253673553467,-1.8586523532867432
s23,soma,,13,13,39,pre,odor,True,-1.0240659713745117,1.9637006521224976,-4.038311958312988
s23,soma,,14,14,1,pre,odor,True,1.059728980064392,3.082643747329712,-0.8343226909637451
s23,soma,,15,15,12,pre,odor,True,2.721343994140625,11.555559158325195,-2.8012425899505615
s23,soma,,16,16,22,pre,odor,True,2.5004868507385254,6.325737476348877,-1.8747633695602417
s23,soma,,17,17,10,pre,odor,True,5.9053120613098145,11.909649848937988,-3.196439743041992
s23,soma,,18,18,17,pre,odor,True,-0.8194018602371216,6.294248104095459,-5.942178726196289
s23,soma,,19,19,31,pre,odor,True,1.9004154205322266,5.951663970947266,-1.2309519052505493
s23,soma,,20,20,30,pre,odor,True,0.6539247035980225,3.2201149463653564,-2.1849260330200195
s23,soma,,21,21,12,pre,odor,True,1.51699960231781,5.266880989074707,-1.3517025709152222
s23,soma,,22,22,22,pre,odor,True,3.542484760284424,6.71164083480835,-1.5241597890853882
s23,soma,,23,23,4,pre,odor,True,1.6798207759857178,4.783926010131836,-0.37928760051727295
s23,soma,,24,24,0,pre,odor,True,-0.15653355419635773,3.377039670944214,-4.681769371032715
s23,soma,,25,25,3,pre,odor,True,1.5939456224441528,4.352552890777588,-1.4187246561050415
s23,soma,,26,26,40,pre,odor,True,-0.8944759964942932,2.848896026611328,-4.4798502922058105
s23,soma,,27,27,10,pre,odor,True,2.1952357292175293,4.244292736053467,-2.6497385501861572
s23,soma,,28,28,21,pre,odor,True,1.380733847618103,4.1992597579956055,-2.173764944076538
s23,soma,,29,29,18,pre,odor,True,1.0343995094299316,3.7535367012023926,-1.6063569784164429
s23,soma,,30,30,18,pre,odor,True,-2.248382091522217,-0.388820081949234,-4.115965843200684
s23,soma,,31,31,0,pre,odor,True,-0.2022903859615326,2.9150686264038086,-3.033952236175537
s23,soma,,32,32,12,post,odor,True,0.041191015392541885,0.6912859082221985,-0.7569200992584229
s23,soma,,33,33,18,post,odor,True,0.33090072870254517,1.3449093103408813,-0.8962476253509521
s23,soma,,34,34,40,post,odor,True,0.08498022705316544,1.046296238899231,-0.6503472328186035
s23,soma,,35,35,32,post,odor,True,0.2809686064720154,1.2850971221923828,-0.8685793280601501
s23,soma,,36,36,31,post,odor,True,0.18278419971466064,1.231804609298706,-0.5473355650901794
s23,soma,,37,37,0,post,odor,True,-0.046753644943237305,0.9260374903678894,-0.8052180409431458
s23,soma,,38,38,4,post,odor,True,0.04844267666339874,0.742428183555603,-0.5090595483779907
s23,soma,,39,39,2,post,odor,True,0.004076238255947828,1.1616933345794678,-0.6997265815734863
s23,soma,,40,40,3,post,odor,True,0.09130335599184036,0.9743613004684448,-0.45838621258735657
s23,soma,,41,41,21,post,odor,True,0.8815472722053528,2.0716161727905273,-0.38046547770500183
s23,soma,,42,42,31,post,odor,True,0.09435926377773285,1.0658766031265259,-0.7128286361694336
s23,soma,,43,43,2,post,odor,True,-0.016568560153245926,0.53387850522995,-0.6857621669769287
s23,soma,,44,44,32,post,odor,True,0.22788071632385254,1.2184944152832031,-0.6726480722427368
s23,soma,,45,45,40,post,odor,True,0.06771323084831238,0.8496187925338745,-0.8071064949035645
s23,soma,,46,46,1,post,odor,True,0.019629700109362602,0.815180778503418,-0.596532940864563
s23,soma,,47,47,0,post,odor,True,0.02313205413520336,0.7027745246887207,-0.6200569868087769
s23,soma,,48,48,22,post,odor,True,0.10475796461105347,1.1891127824783325,-0.6153074502944946
s23,soma,,49,49,10,post,odor,True,-0.008073790930211544,0.6725479364395142,-0.6661772131919861
s23,soma,,50,50,1,post,odor,True,-0.049599334597587585,0.5844851136207581,-0.6555406451225281
s23,soma,,51,51,30,post,odor,True,0.1950387954711914,1.0957423448562622,-0.673222541809082
s23,soma,,52,52,12,post,odor,True,0.019765682518482208,0.7332100868225098,-0.6619272828102112
